"P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2","FOLIO","VIV_SEL","ID_ENT","FAC_VIV"
2,6,2,1,2,2,1,18933,1,11,6798
2,5,2,2,1,3,1,18934,3,23,1745
2,5,1,2,1,4,1,18935,3,24,1407
2,3,1,2,1,2,1,18936,16,1,848
1,2,1,2,2,3,1,18937,18,28,1479
4,6,3,1,1,5,1,18938,4,28,1816
2,5,2,1,1,2,1,18939,5,27,1651
3,6,1,2,1,6,1,18940,2,5,1313
2,3,1,1,2,3,1,18941,1,5,1769
2,3,1,2,2,2,1,18942,20,19,2996
2,3,1,1,1,4,1,18943,1,7,4492
1,6,2,1,1,2,1,18944,1,21,4613
2,3,1,1,1,5,1,18945,17,23,2829
2,3,1,1,2,2,1,18946,5,6,908
2,4,1,2,2,1,1,18947,9,28,2105
1,4,1,2,1,3,1,18948,4,5,2069
2,3,1,1,1,4,1,18949,9,2,1927
3,4,2,1,1,3,1,18950,2,21,4305
4,7,1,2,1,4,1,18951,2,1,1363
1,2,0,2,1,1,1,18952,20,21,4824
2,6,1,2,1,2,1,18953,5,21,4489
2,7,2,2,1,5,1,18954,5,19,3641
2,4,4,1,1,7,1,18955,5,23,1573
2,5,2,1,1,2,1,18956,19,10,1365
2,3,1,2,2,4,1,18957,9,12,2839
2,3,1,2,2,3,1,18958,11,25,2705
2,5,1,2,1,3,1,18959,5,9,1008
3,6,1,1,1,4,1,18960,4,3,714
2,7,1,1,2,3,1,18961,4,5,1426
3,4,1,2,2,6,1,18962,5,29,2755
2,4,1,1,1,1,1,18963,1,21,4969
1,6,2,1,1,2,1,18964,5,13,3066
3,4,1,1,1,1,1,18965,3,8,2767
2,5,0,1,2,5,1,18966,18,24,1225
3,4,1,1,1,5,1,18967,18,28,2431
3,4,1,2,2,1,1,18968,3,9,4983
1,3,1,1,1,1,1,18969,2,19,3029
2,2,1,2,1,2,1,18970,19,20,3206
3,5,2,1,1,2,1,18971,5,1,1116
2,4,2,1,2,3,1,18972,4,10,1281
2,4,1,1,1,2,1,18973,3,11,5483
4,6,2,1,1,6,1,18974,1,15,12314
3,6,2,1,1,3,1,18975,12,14,10589
1,2,1,2,2,3,1,18976,14,31,2239
2,3,1,1,2,2,1,18977,3,8,3354
3,4,1,1,1,6,1,18978,4,9,3913
4,7,1,2,2,11,1,18979,5,9,4308
2,3,1,1,2,4,1,18980,12,13,1645
2,4,1,2,1,3,1,18981,2,9,4004
1,3,0,2,2,2,1,18982,8,4,784
3,4,2,2,1,4,1,18983,6,32,1691
3,4,1,1,1,6,1,18984,13,24,1797
2,3,1,1,1,2,1,18985,3,9,3566
2,4,1,1,1,4,1,18986,11,25,2124
3,7,1,2,1,5,1,18987,4,19,3361
1,3,0,2,2,1,1,18988,12,12,2869
2,4,1,1,1,4,1,18989,3,19,3367
2,5,1,1,1,2,1,18990,1,9,3521
1,3,1,2,2,3,1,18991,18,4,797
1,3,2,2,1,2,1,18992,17,18,1495
1,3,1,1,1,2,1,18993,5,12,3894
2,3,2,1,1,3,1,18994,4,26,2266
2,3,1,1,1,4,1,18995,8,28,2250
2,3,1,2,1,3,1,18996,2,28,1704
2,4,1,2,1,5,1,18997,5,13,1831
3,5,1,2,1,5,1,18998,1,1,1189
2,3,2,2,2,2,1,18999,3,7,3525
1,6,1,2,1,1,1,19000,3,18,973
3,7,2,1,1,3,1,19001,1,21,4829
1,2,1,2,2,2,1,19002,18,24,1065
2,3,1,1,2,4,1,19003,6,6,835
2,4,1,2,1,3,1,19004,2,15,10531
3,5,2,2,1,8,1,19005,1,19,3877
2,4,1,2,1,2,1,19006,13,25,2524
1,3,1,2,2,1,1,19007,13,7,4023
1,1,0,2,2,2,1,19008,13,30,8713
3,9,4,1,1,5,1,19009,5,12,2169
2,4,1,1,1,5,1,19010,4,24,1445
2,2,1,2,2,3,1,19011,10,4,779
2,3,1,1,2,7,1,19012,10,13,2578
4,5,2,1,1,4,1,19013,2,25,2426
1,2,1,2,2,3,1,19014,4,17,943
2,3,1,2,2,3,1,19015,9,25,2442
3,5,2,1,1,5,1,19016,3,1,1373
2,3,1,2,1,4,1,19017,5,28,1727
2,4,1,1,1,4,1,19018,5,9,3638
3,6,1,2,1,4,1,19019,3,15,12086
4,5,1,2,1,4,1,19020,3,29,1015
1,5,2,1,1,1,1,19021,5,1,1346
2,3,3,2,2,3,1,19022,4,9,2858
2,3,0,2,2,5,1,19023,16,27,2660
2,3,0,2,2,3,1,19024,15,17,952
3,9,4,1,1,3,1,19025,3,9,2944
1,1,1,2,2,2,1,19026,4,8,2970
2,4,2,1,1,3,1,19027,3,2,1439
1,4,1,2,2,2,1,19028,3,5,1380
1,3,0,1,1,3,1,19029,7,11,5223
2,3,1,2,2,3,1,19030,6,17,1044
3,4,2,1,1,3,1,19031,3,9,3766
1,2,1,2,2,1,1,19032,2,31,2129
1,1,1,1,1,3,1,19033,9,10,1285
2,2,0,2,2,4,1,19034,2,15,20259
3,6,3,1,1,3,1,19035,4,17,1411
3,8,3,1,1,3,1,19036,5,2,2980
1,1,0,2,1,3,1,19037,1,17,1206
2,4,1,2,2,3,1,19038,5,10,1214
1,4,3,1,1,5,1,19039,5,1,1437
3,5,3,1,1,4,1,19040,4,23,1859
1,4,2,2,2,2,1,19041,1,13,2917
1,2,1,2,2,2,1,19042,1,29,661
2,4,2,1,2,3,1,19043,1,19,3360
3,5,1,1,1,6,1,19044,20,10,1450
2,3,1,1,2,4,1,19045,2,28,1686
1,3,1,1,1,1,1,19046,1,19,3413
1,2,1,2,2,3,1,19047,2,4,779
2,2,1,2,1,4,1,19048,17,31,2014
1,1,1,2,1,3,1,19049,3,23,2031
1,3,1,2,1,4,1,19050,19,11,4721
1,3,1,2,1,3,1,19051,3,7,3363
2,3,1,2,1,3,1,19052,1,25,3077
2,3,1,2,2,3,1,19053,4,11,5338
2,3,1,2,1,4,1,19054,4,26,2700
1,1,0,2,2,3,1,19055,12,7,5052
3,4,2,1,1,4,1,19056,5,29,1036
1,4,1,1,1,2,1,19057,1,5,1490
2,3,1,2,2,4,1,19058,3,30,4733
3,3,1,1,1,4,1,19059,3,6,813
1,2,0,2,2,1,1,19060,4,9,3604
1,2,0,1,1,3,1,19061,2,20,3726
3,8,1,1,1,5,1,19062,5,32,1324
2,4,1,2,1,1,1,19063,1,5,1437
1,2,1,2,1,1,1,19064,4,9,3076
1,2,1,2,1,3,1,19065,15,14,3387
2,3,1,1,1,3,1,19066,5,22,1952
3,5,1,2,1,3,1,19067,3,26,2121
2,2,2,2,2,2,1,19068,1,7,4074
2,3,1,2,2,2,1,19069,2,21,760
2,4,1,1,1,4,1,19070,1,23,1371
1,1,0,2,2,4,1,19071,5,21,4824
1,3,1,1,2,2,1,19072,17,14,10589
2,4,1,1,1,2,1,19073,3,24,1261
4,5,2,1,1,5,1,19074,2,2,3332
1,2,1,1,2,2,1,19075,16,18,1128
3,6,1,2,1,4,1,19076,1,15,7080
1,5,1,2,2,2,1,19077,11,16,3033
2,3,2,1,1,3,1,19078,2,1,1681
2,2,1,2,1,5,1,19079,1,4,707
1,2,1,1,1,4,1,19080,8,4,707
3,4,1,1,1,4,1,19081,6,13,1288
2,2,0,2,2,4,1,19082,10,16,3018
2,2,1,1,2,4,1,19083,7,29,500
3,4,0,2,2,4,1,19084,4,20,4169
1,3,1,1,1,2,1,19085,2,19,3621
3,6,1,1,1,4,1,19086,8,25,2626
4,5,0,2,2,11,1,19087,19,7,4920
1,2,1,2,2,3,1,19088,4,15,12481
2,4,1,1,1,4,1,19089,1,26,2266
1,4,1,2,2,3,1,19090,19,29,661
1,5,2,1,1,2,1,19091,4,2,2583
3,5,3,1,1,1,1,19092,5,24,1429
2,3,1,2,1,3,1,19093,19,21,6756
3,4,1,2,1,4,1,19094,3,9,3633
1,2,2,1,1,2,1,19095,1,6,597
2,3,1,1,2,5,1,19096,19,27,1628
3,5,3,1,1,4,1,19097,2,19,3148
1,3,1,1,1,3,1,19098,3,18,1651
3,5,0,2,1,5,1,19099,17,21,6225
3,4,2,1,1,5,1,19100,2,26,2279
2,4,1,1,1,1,1,19101,3,28,1705
3,4,1,2,1,2,1,19102,3,29,1293
4,5,2,1,1,3,1,19103,5,14,6870
1,3,1,2,1,2,1,19104,1,30,6666
2,4,1,2,1,4,1,19105,20,29,658
3,5,2,1,1,4,1,19106,1,15,11783
2,4,1,2,1,7,1,19107,17,17,835
3,4,2,2,1,4,1,19108,1,29,1117
3,4,0,2,2,6,1,19109,5,20,3726
4,5,0,2,2,10,1,19110,6,7,4091
2,3,1,2,1,1,1,19111,4,15,11818
1,3,1,2,1,3,1,19112,4,2,2729
4,6,1,2,1,7,1,19113,1,9,3100
2,3,1,1,1,3,1,19114,11,28,2105
2,3,1,2,1,4,1,19115,2,15,9428
2,4,1,2,2,4,1,19116,2,20,3848
2,3,1,2,2,2,1,19117,4,29,979
2,2,2,1,2,3,1,19118,5,19,2996
2,4,1,2,1,3,1,19119,5,1,1464
3,5,2,1,1,4,1,19120,1,13,4627
1,2,0,2,1,2,1,19121,17,21,4714
2,4,1,2,1,2,1,19122,3,21,4377
2,5,1,1,1,4,1,19123,4,22,2103
1,2,1,1,1,2,1,19124,3,9,3623
3,4,0,2,2,9,1,19125,16,24,1009
1,1,1,2,1,2,1,19126,4,20,3050
2,3,1,2,1,1,1,19127,4,6,794
1,2,0,2,2,6,1,19128,1,12,2869
2,4,1,2,1,2,1,19129,5,11,5348
2,5,1,2,1,2,1,19130,1,9,3701
3,5,1,1,1,5,1,19131,14,24,2162
3,6,2,1,1,3,2,19132,4,24,1272
1,3,0,2,2,1,1,19133,13,28,1388
1,5,0,2,2,1,1,19134,5,10,1306
1,3,1,2,1,4,1,19135,15,32,1468
1,2,1,2,2,3,1,19136,19,25,2188
1,3,1,1,1,3,1,19137,2,3,796
1,2,1,1,1,3,1,19138,4,2,2739
3,4,2,1,1,3,1,19139,2,15,13117
2,3,1,2,2,1,1,19140,19,30,8713
1,3,1,1,1,1,1,19141,2,21,3818
4,6,1,1,2,4,1,19142,1,2,2951
2,5,1,2,1,2,1,19143,5,9,4001
2,3,1,2,1,2,1,19144,4,9,3527
2,4,2,1,1,2,1,19145,5,14,7693
1,1,1,1,2,1,1,19146,3,9,1000
1,2,1,2,1,3,1,19147,2,20,3160
3,5,2,2,1,3,1,19148,3,9,3409
2,3,0,2,1,5,1,19149,12,11,4721
1,2,1,2,1,2,1,19150,4,1,1284
1,2,1,2,2,2,1,19151,4,27,2357
3,4,2,1,1,4,1,19152,5,19,3752
1,2,1,2,1,4,1,19153,12,25,2442
1,4,1,2,1,2,1,19154,3,2,2118
2,4,1,1,1,4,2,19155,3,23,2231
2,4,3,1,1,3,1,19156,3,24,1338
4,9,4,1,1,7,1,19157,4,26,2339
4,6,1,1,1,8,1,19158,4,24,1185
2,5,2,1,1,1,1,19159,4,15,11415
2,3,1,2,2,5,1,19160,6,18,985
2,3,1,1,1,3,1,19161,18,8,2372
2,5,1,2,1,5,1,19162,5,5,1711
3,5,1,1,1,5,1,19163,2,29,830
2,3,2,1,1,2,1,19164,18,25,2524
1,4,1,2,2,4,1,19165,5,26,2117
2,4,1,1,2,2,1,19166,3,9,2967
1,3,1,1,1,1,1,19167,4,16,4784
1,4,1,1,1,1,1,19168,14,18,1072
2,4,0,2,2,4,1,19169,2,20,3504
1,2,1,2,2,3,1,19170,5,15,13434
2,3,1,1,2,1,1,19171,10,3,488
1,2,1,2,2,3,1,19172,2,29,1015
3,4,2,1,1,3,1,19173,3,15,13365
1,2,0,2,2,1,1,19174,14,7,4578
4,5,2,1,1,6,1,19175,3,29,2601
2,6,0,2,2,5,1,19176,3,24,1121
1,5,1,1,2,2,1,19177,3,1,1132
6,8,1,2,2,6,1,19178,17,7,3363
4,6,2,1,1,6,1,19179,5,6,826
2,6,1,1,1,2,1,19180,3,29,1036
3,4,1,2,1,4,1,19181,1,29,1004
2,4,1,2,2,1,1,19182,1,24,1058
2,3,1,1,1,4,1,19183,3,9,3243
2,4,1,2,2,3,1,19184,4,10,1191
2,4,2,2,2,2,1,19185,3,24,1407
3,4,1,1,1,3,1,19186,1,8,2512
2,4,1,2,1,3,1,19187,3,14,21971
2,4,1,1,1,2,1,19188,4,26,2039
2,4,1,1,1,2,1,19189,1,25,1138
3,4,2,2,2,5,1,19190,8,29,658
2,3,1,1,1,4,1,19191,4,25,2585
2,6,1,1,1,3,1,19192,5,24,1651
3,5,1,1,2,3,1,19193,2,21,3365
2,3,1,2,1,3,1,19194,2,6,778
2,2,1,2,1,3,1,19195,1,17,1596
2,3,1,2,1,5,1,19196,5,19,3266
3,5,1,2,1,1,1,19197,1,21,5069
2,3,2,1,1,5,1,19198,20,2,4118
2,4,2,1,2,2,1,19199,2,5,1902
2,4,0,2,2,4,1,19200,13,30,4785
1,2,1,1,1,2,1,19201,2,2,2739
2,3,1,2,2,2,2,19202,4,19,2916
2,4,1,1,1,5,1,19203,6,3,488
3,5,2,1,2,10,1,19204,20,13,1739
1,5,1,1,1,2,1,19205,3,21,5724
1,2,1,2,1,3,1,19206,3,9,5687
2,3,1,2,1,2,1,19207,2,13,1831
1,2,1,1,1,2,1,19208,1,31,2212
2,4,1,1,1,4,1,19209,4,6,835
2,4,1,1,1,5,1,19210,1,23,1491
4,9,3,1,1,3,1,19211,4,15,11554
3,5,1,1,1,8,1,19212,5,5,1555
2,3,1,2,1,3,1,19213,10,13,2501
2,3,1,2,1,2,1,19214,2,19,3434
2,3,1,1,2,3,1,19215,5,28,1979
2,3,1,1,1,2,1,19216,4,3,709
2,4,1,1,1,4,1,19217,6,13,1831
1,4,1,1,1,2,1,19218,1,26,2939
1,3,1,1,1,2,1,19219,3,29,1155
2,3,1,2,1,4,1,19220,4,20,3021
1,2,1,1,2,1,1,19221,2,15,10752
3,7,2,1,1,2,1,19222,1,9,3458
3,6,1,1,1,5,1,19223,3,30,4903
3,6,2,1,1,4,1,19224,1,8,1050
2,4,1,2,1,3,1,19225,5,27,4084
2,4,1,2,2,4,1,19226,3,12,2678
1,3,2,2,1,1,1,19227,1,1,1139
3,5,2,1,1,3,1,19228,4,14,6695
1,1,1,2,1,2,1,19229,5,3,350
2,3,2,2,1,3,1,19230,20,27,2602
2,5,1,1,1,3,1,19231,15,3,496
2,2,1,2,1,4,1,19232,12,14,3387
1,5,2,1,1,2,1,19233,1,15,6441
5,8,2,2,1,1,1,19234,2,30,5683
1,3,1,1,1,3,1,19235,4,28,1896
2,3,1,2,1,7,1,19236,3,4,707
4,6,0,2,2,6,1,19237,16,24,1225
1,2,0,2,2,5,1,19238,5,9,1906
2,5,2,1,1,1,1,19239,4,21,1033
1,3,1,2,1,1,1,19240,2,6,888
1,1,1,2,2,3,1,19241,18,31,2522
1,3,1,1,1,4,1,19242,1,23,1226
4,6,2,1,1,4,1,19243,7,21,6225
3,5,1,1,1,5,1,19244,17,22,2305
1,2,0,2,1,3,1,19245,20,11,5624
1,2,1,1,2,2,1,19246,3,22,2278
1,2,0,2,1,4,1,19247,1,9,1507
3,4,1,2,1,5,1,19248,5,26,2137
3,7,1,1,1,4,1,19249,10,30,5218
2,4,0,2,1,2,1,19250,18,30,4624
3,6,1,2,1,1,1,19251,5,8,3150
1,3,2,2,1,1,1,19252,3,19,3246
1,1,0,2,2,3,1,19253,19,20,2841
1,2,1,2,2,5,1,19254,16,30,7808
2,3,1,2,2,2,1,19255,2,27,2210
2,3,1,2,1,2,1,19256,11,31,2598
2,3,1,2,2,5,1,19257,3,16,4301
4,6,2,2,1,1,1,19258,13,24,1121
1,2,0,1,1,3,1,19259,16,11,5624
1,1,0,2,2,1,1,19260,7,28,2105
2,6,1,1,1,2,1,19261,5,22,2320
3,4,1,2,1,3,1,19262,17,15,6441
3,4,1,1,1,5,1,19263,3,3,732
2,3,0,2,1,5,1,19264,9,30,4774
3,4,1,2,2,6,1,19265,4,18,1105
2,3,1,1,2,3,1,19266,4,17,3604
1,9,2,1,1,1,1,19267,11,15,5909
1,5,2,1,1,3,1,19268,1,5,1832
3,4,1,2,2,3,1,19269,5,29,991
2,2,2,1,1,2,1,19270,3,28,1614
2,3,1,1,1,4,1,19271,5,11,4829
1,3,0,2,2,1,1,19272,4,29,2601
4,5,3,1,1,6,1,19273,1,32,1808
2,4,1,1,1,6,1,19274,2,26,2630
2,3,1,2,1,2,1,19275,3,16,4201
2,3,1,1,1,6,1,19276,15,19,2799
2,3,1,1,1,5,1,19277,17,8,2372
3,5,1,2,1,5,1,19278,1,12,4473
3,4,1,1,1,3,1,19279,1,26,2117
2,3,0,1,2,4,1,19280,3,15,15661
4,5,2,1,1,7,1,19281,6,21,6402
3,7,2,1,1,6,1,19282,2,29,2601
2,2,2,1,1,2,1,19283,1,27,2210
1,4,0,2,2,1,1,19284,4,24,1281
3,7,1,2,2,6,1,19285,16,6,691
1,4,2,1,1,3,1,19286,1,28,1896
2,4,1,1,2,2,1,19287,14,26,1939
1,2,0,2,2,4,1,19288,2,16,4338
1,2,0,2,2,1,1,19289,11,20,3504
1,8,2,2,1,4,1,19290,9,18,1128
3,4,1,2,1,4,1,19291,3,15,10752
3,6,2,1,1,4,1,19292,3,17,1386
2,4,1,2,2,1,1,19293,3,21,5100
1,3,1,2,1,3,1,19294,2,21,4872
2,3,1,1,1,2,1,19295,18,28,2105
2,5,2,1,1,3,1,19296,14,14,3387
2,3,1,1,1,2,1,19297,10,5,1433
2,3,1,1,1,7,1,19298,5,19,2656
3,5,3,1,1,5,1,19299,3,19,3752
2,3,1,2,1,3,1,19300,11,18,1651
3,5,1,1,1,4,1,19301,3,5,1346
3,6,2,1,1,3,1,19302,1,21,5024
2,3,0,2,2,5,1,19303,1,24,1829
1,2,1,2,2,1,1,19304,8,18,1488
3,3,2,1,1,4,1,19305,4,28,1979
1,2,0,2,1,4,1,19306,3,4,977
1,2,1,2,1,2,1,19307,4,23,1617
1,5,1,2,1,5,1,19308,13,14,7378
2,4,1,2,2,3,1,19309,8,16,3460
4,5,1,1,1,5,1,19310,1,32,1225
3,8,3,1,1,3,1,19311,2,17,3844
2,3,1,2,1,2,1,19312,2,28,1660
3,4,1,2,1,1,1,19313,3,28,1601
2,2,1,1,1,4,1,19314,2,4,847
2,3,1,2,2,1,1,19315,10,18,1108
1,2,1,2,1,4,1,19316,2,30,5687
2,3,1,1,1,4,1,19317,9,24,973
3,4,0,1,1,9,1,19318,5,14,10894
2,4,2,2,2,2,1,19319,7,32,1543
2,4,1,1,1,6,1,19320,1,28,1604
1,2,1,2,1,1,1,19321,4,23,1817
3,5,1,1,1,3,1,19322,1,26,1603
2,5,0,2,1,3,1,19323,14,21,5277
1,2,2,1,1,3,1,19324,5,7,4020
3,5,1,1,1,3,1,19325,5,32,916
2,4,1,2,1,2,1,19326,10,16,4964
2,3,1,1,1,4,1,19327,9,22,2245
3,5,0,1,1,3,1,19328,4,15,5447
1,2,0,1,2,7,1,19329,6,12,2839
2,3,0,2,1,4,1,19330,16,4,707
3,6,1,1,1,4,1,19331,4,16,3838
1,1,2,1,1,3,1,19332,18,20,2508
1,4,2,1,1,2,1,19333,13,5,1431
2,4,1,2,2,5,1,19334,3,13,1831
2,8,3,1,1,3,1,19335,3,28,1669
1,3,1,1,1,1,1,19336,3,19,3400
2,4,1,2,2,3,1,19337,2,28,1343
2,3,1,2,1,3,1,19338,1,19,2799
2,4,1,1,1,4,1,19339,3,28,1733
2,3,1,1,2,8,1,19340,2,29,682
3,4,1,2,1,5,1,19341,10,12,2579
2,3,1,2,2,1,1,19342,3,29,2789
2,3,1,1,1,5,1,19343,2,9,3299
4,7,3,1,1,6,1,19344,3,12,3065
2,3,2,2,1,5,1,19345,2,3,646
1,3,1,2,1,1,1,19346,4,29,1167
1,2,1,2,1,1,1,19347,4,3,620
2,5,0,2,1,2,1,19348,17,30,4624
2,4,0,2,2,1,1,19349,3,29,830
2,3,1,1,1,5,1,19350,8,15,6441
1,2,0,1,1,6,1,19351,4,8,2734
2,3,1,2,1,1,1,19352,4,4,781
1,4,1,1,1,1,1,19353,5,3,496
3,6,2,1,1,4,1,19354,2,15,12734
2,4,1,1,1,3,1,19355,13,10,1494
1,3,1,1,1,2,1,19356,4,1,1335
1,3,1,2,1,1,1,19357,2,27,2589
2,3,1,2,2,3,1,19358,3,7,2286
2,5,2,1,1,5,1,19359,5,22,2031
3,5,1,1,1,4,1,19360,4,14,9142
3,5,1,2,2,5,1,19361,1,1,3781
2,4,1,2,1,4,1,19362,10,13,2376
2,4,1,2,2,2,1,19363,5,14,11513
1,3,2,2,1,2,1,19364,2,1,1371
3,5,2,1,1,2,1,19365,5,9,4117
2,2,0,2,2,1,1,19366,2,12,2886
3,5,1,2,1,7,1,19367,9,21,5024
3,3,2,1,1,3,1,19368,11,26,2632
1,2,1,2,2,1,1,19369,16,18,1538
1,3,1,2,1,2,1,19370,14,24,1065
1,1,1,1,1,5,1,19371,11,27,2554
1,1,1,2,1,4,1,19372,2,3,573
2,4,0,2,2,3,1,19373,15,20,3504
3,4,1,2,2,3,1,19374,4,27,2893
2,3,1,2,1,4,1,19375,1,2,2808
3,5,1,2,1,4,1,19376,17,1,392
2,3,1,2,1,4,1,19377,1,28,1669
2,3,1,2,1,5,1,19378,16,13,1831
1,2,1,1,1,2,1,19379,1,26,3025
2,3,1,2,1,6,2,19380,1,18,1303
2,3,1,2,1,2,1,19381,1,26,2206
2,4,2,1,2,5,1,19382,11,16,4301
2,3,1,1,1,5,1,19383,2,17,943
2,5,1,2,2,1,1,19384,13,5,1555
1,2,1,2,2,1,1,19385,17,13,1645
3,7,1,1,1,6,1,19386,10,5,1902
1,2,1,2,1,3,1,19387,18,30,8713
2,3,1,1,1,5,1,19388,4,26,2425
1,3,1,1,1,3,1,19389,3,9,3521
1,1,1,2,1,1,1,19390,2,23,858
1,2,1,1,1,2,1,19391,5,2,3058
2,3,1,1,1,3,1,19392,2,6,835
2,6,1,2,2,1,1,19393,2,3,714
4,9,2,1,1,2,1,19394,2,8,3056
1,2,0,2,2,1,1,19395,5,11,4097
3,7,1,1,1,2,1,19396,20,10,1138
3,5,2,1,1,3,1,19397,2,30,6493
1,3,1,2,1,1,1,19398,4,19,3387
3,5,1,1,1,2,1,19399,1,1,1442
3,5,1,1,1,5,1,19400,12,22,2245
1,4,2,1,1,2,1,19401,8,25,2282
1,1,1,2,1,2,1,19402,2,6,731
2,4,4,1,1,5,1,19403,1,4,730
2,4,1,1,1,4,1,19404,3,10,1396
2,4,2,1,1,3,1,19405,5,9,3741
1,2,1,2,1,3,1,19406,17,30,5770
3,7,1,1,1,3,1,19407,3,30,5611
2,3,3,1,1,2,1,19408,15,7,3822
3,5,1,1,1,2,1,19409,5,24,1009
2,3,1,2,1,5,1,19410,4,27,2589
2,4,1,2,1,2,1,19411,4,8,383
2,3,1,1,2,2,1,19412,1,28,2088
3,4,1,2,1,6,1,19413,8,27,1502
2,3,1,1,1,3,1,19414,1,9,3655
4,7,2,1,1,2,1,19415,4,8,3005
1,4,1,2,1,2,1,19416,1,26,2272
2,2,1,2,2,4,1,19417,2,19,3653
1,3,0,2,2,4,1,19418,16,7,3330
1,5,1,1,1,5,1,19419,11,27,2602
2,4,1,2,1,3,1,19420,3,23,1831
1,1,1,2,2,5,1,19421,19,13,3702
4,4,0,2,1,4,1,19422,5,30,4624
2,5,1,1,1,3,1,19423,5,2,2151
2,5,2,1,1,3,1,19424,1,9,3132
2,3,1,2,2,2,1,19425,6,4,784
2,3,1,1,1,3,1,19426,2,28,1798
3,5,1,1,1,6,1,19427,8,28,2105
2,5,2,1,1,8,1,19428,4,5,1541
3,5,1,2,1,3,1,19429,11,21,5024
2,3,1,1,1,3,1,19430,20,5,1479
4,5,1,1,1,8,1,19431,2,12,2678
2,2,0,2,2,1,1,19432,12,24,1337
2,3,1,2,1,2,1,19433,4,26,2719
1,2,1,2,2,2,1,19434,9,20,3206
2,3,1,1,1,2,1,19435,5,6,749
2,2,1,1,1,6,1,19436,1,28,1952
3,4,1,1,1,6,1,19437,3,1,848
4,5,1,1,2,4,1,19438,1,15,10752
3,4,0,2,1,6,1,19439,12,16,3018
2,5,1,2,2,2,1,19440,2,22,1953
2,3,2,1,1,4,1,19441,4,23,2057
3,6,2,1,1,5,1,19442,3,28,1904
3,4,1,2,1,4,1,19443,16,22,2454
1,4,1,2,2,1,1,19444,17,1,1437
3,5,2,2,2,3,1,19445,1,17,1411
2,2,1,1,1,2,1,19446,13,27,2660
3,6,2,1,1,1,1,19447,1,15,11415
1,2,1,2,1,3,1,19448,13,25,2626
3,6,1,1,1,4,1,19449,5,29,586
4,5,1,2,2,7,1,19450,19,10,1281
1,3,1,2,1,1,1,19451,2,30,5493
1,1,0,2,2,3,1,19452,4,20,3030
1,1,1,1,2,1,1,19453,9,20,5038
2,3,1,1,2,4,1,19454,17,3,609
2,3,1,2,2,4,1,19455,1,2,3508
4,8,2,1,1,3,1,19456,1,9,3014
3,7,2,1,1,4,1,19457,4,19,3302
1,3,1,2,2,1,1,19458,5,3,703
3,5,2,1,1,10,2,19459,3,15,11347
3,5,1,1,1,4,1,19460,5,3,746
2,3,0,2,2,4,1,19461,17,24,1281
2,4,1,2,1,4,1,19462,4,24,1295
1,2,0,2,2,5,1,19463,3,12,3037
2,3,1,2,1,6,1,19464,5,23,1491
3,5,3,1,1,4,1,19465,4,8,3082
2,3,2,1,1,9,1,19466,7,17,485
4,6,1,1,1,5,1,19467,6,15,5909
3,4,1,2,2,4,1,19468,2,7,3836
3,5,1,1,1,3,1,19469,18,14,10589
1,1,1,1,2,1,1,19470,3,2,3257
3,6,1,1,1,4,1,19471,5,9,3913
2,4,2,2,1,2,1,19472,1,8,3216
1,2,1,1,2,2,1,19473,2,7,6693
1,1,0,2,2,2,1,19474,2,31,2239
2,4,1,2,1,3,1,19475,6,10,1365
2,3,0,2,2,6,1,19476,9,20,4169
1,4,2,1,1,2,1,19477,2,18,1072
4,6,2,1,1,4,1,19478,4,18,1175
1,1,1,2,2,2,1,19479,11,27,2357
2,3,1,2,1,5,1,19480,3,23,1579
2,6,1,1,1,3,1,19481,1,10,1205
3,5,3,1,1,4,1,19482,3,25,2859
2,6,2,1,1,4,1,19483,14,16,5935
2,3,1,1,2,6,1,19484,15,27,2396
3,5,1,1,1,1,1,19485,4,28,1965
4,7,1,1,1,5,1,19486,11,1,1437
2,3,1,2,2,2,1,19487,1,17,1044
1,4,1,2,2,1,1,19488,10,4,707
2,3,1,2,1,2,1,19489,3,22,6559
2,3,1,1,2,1,1,19490,2,8,2701
1,3,1,2,1,1,1,19491,1,2,3052
1,4,2,2,1,1,1,19492,2,15,9451
4,6,3,1,1,4,1,19493,3,21,4811
1,3,1,2,1,1,1,19494,2,21,4811
2,4,1,1,1,6,1,19495,4,19,3653
3,7,4,1,1,4,1,19496,5,19,3243
1,5,1,1,1,2,1,19497,3,29,1100
2,3,1,2,1,4,1,19498,2,11,4712
2,4,1,1,1,3,1,19499,2,18,1201
2,4,2,1,1,4,1,19500,2,8,3124
2,5,1,1,1,4,1,19501,15,31,2598
3,7,2,1,1,4,1,19502,1,31,2712
1,1,1,2,2,4,1,19503,4,29,1038
2,3,1,2,1,4,1,19504,4,9,2860
2,4,1,2,2,1,1,19505,1,9,3459
1,3,3,1,1,1,1,19506,4,4,771
3,4,1,1,1,1,1,19507,5,24,1019
2,7,1,2,1,3,1,19508,4,29,865
2,3,1,2,1,4,1,19509,19,27,2396
3,5,1,1,1,6,1,19510,5,28,1625
3,5,2,1,1,3,1,19511,4,3,800
1,3,0,2,2,2,1,19512,12,21,6225
2,4,0,1,2,2,1,19513,13,12,2839
1,3,1,1,2,2,1,19514,2,5,1594
3,7,2,1,1,2,1,19515,4,18,1097
