"P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2","FOLIO","VIV_SEL","ID_ENT","FAC_VIV"
1,4,2,1,1,3,1,13483,5,8,3159
2,3,0,2,2,6,1,13484,8,20,3030
2,5,1,1,1,2,1,13485,19,20,5038
2,2,1,2,1,6,1,13486,2,15,11613
1,1,0,2,2,2,1,13487,13,24,1785
3,3,1,1,1,8,2,13488,1,5,1512
1,4,1,2,2,1,1,13489,8,22,2137
1,1,0,2,2,4,1,13490,8,24,1281
1,5,1,1,1,3,1,13491,4,9,3333
3,5,1,1,1,8,1,13492,4,28,1767
2,3,0,2,1,5,1,13493,10,30,4774
2,3,1,2,1,2,1,13494,4,29,972
3,4,1,1,1,9,1,13495,4,28,1648
4,8,2,1,1,6,1,13496,9,1,392
2,3,1,1,1,3,1,13497,14,3,833
3,5,1,1,1,3,1,13498,17,27,2893
2,3,1,2,2,5,1,13499,3,23,1797
2,3,1,2,1,1,1,13500,1,15,7105
2,3,0,2,2,3,1,13501,4,15,15661
1,2,1,2,1,6,1,13502,2,25,2705
2,5,1,1,1,5,1,13503,8,5,1433
4,5,1,1,1,5,1,13504,3,14,7162
3,6,1,1,1,4,1,13505,1,3,488
1,2,0,2,2,5,1,13506,4,15,19018
2,5,2,1,1,4,1,13507,4,28,2005
2,5,1,2,1,2,1,13508,2,31,1914
2,7,3,2,2,1,1,13509,4,6,927
3,4,0,1,1,5,1,13510,16,24,973
2,5,1,1,1,4,1,13511,3,30,5849
2,4,1,1,1,4,1,13512,1,26,2201
3,6,3,1,1,3,1,13513,4,27,3897
2,3,1,2,1,2,1,13514,2,17,1206
3,4,1,2,2,5,2,13515,8,16,3033
2,4,0,2,2,3,1,13516,6,20,3848
2,5,2,1,1,2,1,13517,1,13,5515
2,6,2,1,1,2,1,13518,1,31,2375
1,3,3,1,1,2,1,13519,3,12,2951
1,2,2,1,1,3,1,13520,5,6,728
5,8,2,2,1,4,1,13521,2,9,3624
2,3,1,2,1,3,1,13522,5,16,3613
2,4,0,2,1,6,1,13523,18,30,4521
1,3,1,2,1,1,1,13524,5,22,1858
2,4,1,1,1,3,1,13525,16,23,2031
2,3,0,2,2,2,1,13526,20,24,973
3,5,1,2,2,1,1,13527,17,29,729
2,4,1,1,1,4,1,13528,12,20,4727
2,3,1,2,1,6,1,13529,20,27,1651
2,4,1,2,1,2,1,13530,3,14,16402
1,3,1,2,1,1,1,13531,5,1,1336
4,4,3,2,2,4,1,13532,4,3,698
3,6,1,1,1,1,1,13533,4,13,1831
2,3,1,2,1,5,1,13534,4,28,1655
2,3,1,2,1,3,1,13535,10,11,4770
2,4,1,1,2,2,1,13536,2,29,1223
2,3,1,2,1,5,1,13537,5,2,1922
3,6,1,2,1,4,1,13538,7,15,11415
2,4,1,2,1,2,1,13539,2,22,1944
1,2,1,2,2,2,1,13540,2,3,665
3,4,1,1,1,3,1,13541,4,3,686
3,5,1,1,1,6,1,13542,2,29,987
2,3,1,2,1,2,1,13543,4,19,3029
1,1,1,2,2,1,1,13544,11,3,592
2,2,1,2,1,4,1,13545,12,26,2630
2,3,1,2,1,5,1,13546,2,19,3301
2,3,1,2,1,3,1,13547,4,19,3163
2,4,1,2,1,4,1,13548,19,27,2602
3,4,2,2,2,3,1,13549,5,16,5229
3,6,1,1,1,5,1,13550,5,19,3116
2,4,1,1,1,2,1,13551,4,32,1175
1,6,1,2,1,3,1,13552,3,26,1815
1,2,1,2,2,2,1,13553,18,11,5624
2,6,1,2,1,3,1,13554,1,6,809
3,6,3,1,1,3,1,13555,1,22,2174
2,2,1,1,1,6,1,13556,9,26,2152
2,4,0,1,1,5,1,13557,4,7,3817
4,5,1,2,1,4,1,13558,2,19,3461
1,3,1,2,1,2,1,13559,3,9,3913
3,8,3,1,1,1,1,13560,5,24,1419
1,2,1,2,1,4,1,13561,10,4,797
4,5,2,1,1,2,1,13562,4,12,3730
2,4,1,1,1,4,1,13563,4,9,3566
1,3,1,2,1,1,1,13564,5,25,2258
3,5,1,1,1,10,1,13565,2,10,1450
3,5,1,1,1,3,1,13566,7,13,1831
1,2,0,2,2,3,1,13567,17,20,3504
2,3,1,1,1,4,1,13568,4,19,3317
1,2,1,2,1,2,1,13569,4,32,1267
2,4,1,2,2,7,1,13570,9,11,4889
2,4,3,1,1,2,1,13571,4,14,9208
2,2,1,2,1,6,1,13572,2,23,1754
2,6,2,1,1,4,1,13573,2,5,1489
1,3,2,1,1,1,1,13574,4,17,1137
1,5,1,1,1,1,1,13575,5,5,1512
3,4,1,1,1,4,1,13576,20,11,4770
2,4,1,1,1,2,1,13577,1,19,3056
2,5,1,2,1,4,1,13578,12,4,797
1,3,1,2,1,2,1,13579,5,23,1873
3,5,1,1,1,4,1,13580,1,28,1343
1,2,1,2,1,4,1,13581,4,14,11411
2,4,1,2,2,2,1,13582,4,10,1323
2,3,1,1,2,3,1,13583,5,29,2789
1,2,1,1,1,1,1,13584,2,28,1463
2,4,2,2,1,2,1,13585,4,31,2058
2,4,1,2,1,5,1,13586,4,27,2660
2,4,1,2,2,5,1,13587,3,24,973
5,11,1,2,1,8,2,13588,4,21,3141
4,7,3,1,1,4,1,13589,3,14,7413
4,5,1,2,1,7,1,13590,18,12,2994
2,3,1,1,1,2,1,13591,4,5,1593
1,2,1,1,1,1,1,13592,2,14,7674
2,5,2,2,2,2,1,13593,1,18,1027
2,3,1,1,1,3,1,13594,4,29,989
1,2,1,2,1,1,1,13595,18,26,2939
1,3,0,2,1,1,1,13596,4,9,2665
2,2,1,1,1,2,1,13597,2,24,1214
1,2,1,1,1,3,1,13598,4,25,2772
4,6,2,1,1,10,1,13599,1,29,2755
4,4,3,2,1,3,1,13600,5,2,2345
2,3,0,2,1,4,1,13601,2,4,853
2,3,1,1,1,5,1,13602,2,19,1919
1,1,1,2,2,1,1,13603,2,17,1876
1,2,2,1,1,1,1,13604,5,14,15240
1,3,1,1,1,2,1,13605,2,2,3090
1,2,1,2,2,4,1,13606,13,25,2209
1,4,1,2,1,4,1,13607,2,31,2076
2,4,1,1,1,5,1,13608,7,9,1507
2,3,2,1,1,1,1,13609,5,26,2119
2,6,1,1,2,5,1,13610,7,17,995
2,3,1,1,2,3,1,13611,3,14,10589
2,4,1,2,2,6,1,13612,1,28,1376
3,5,1,2,2,7,1,13613,14,29,500
2,3,1,2,2,2,1,13614,1,2,3514
3,4,1,1,1,4,1,13615,4,8,11188
2,4,1,2,2,4,1,13616,10,18,1072
3,5,1,2,1,5,1,13617,3,22,1530
2,5,1,2,1,4,1,13618,13,20,4727
2,3,1,1,1,7,1,13619,4,18,1297
2,3,1,1,1,3,1,13620,1,11,5752
3,4,2,1,1,4,1,13621,5,23,1391
3,6,1,1,1,7,1,13622,13,17,880
2,4,1,1,1,3,1,13623,2,17,1757
3,3,1,2,1,5,1,13624,3,17,1534
2,2,0,2,2,3,1,13625,12,21,4824
3,7,3,1,1,3,1,13626,4,2,2989
1,2,1,2,1,3,1,13627,9,2,4118
1,1,1,2,1,1,1,13628,5,23,1790
1,2,0,2,2,1,1,13629,12,27,1628
2,3,1,1,1,3,1,13630,4,6,727
3,5,1,1,1,4,1,13631,1,24,1495
1,2,1,2,1,1,1,13632,6,13,2578
2,4,1,1,1,2,1,13633,5,28,1446
2,4,1,2,1,1,1,13634,5,28,1926
1,4,1,1,1,2,1,13635,1,5,1799
2,3,1,2,1,4,1,13636,5,10,1250
2,4,2,1,2,1,1,13637,1,22,2103
3,6,3,1,1,6,1,13638,5,7,4775
1,2,1,1,1,3,1,13639,2,28,1566
2,2,1,2,2,5,1,13640,4,10,1406
3,6,1,1,1,2,1,13641,18,5,1431
1,2,0,2,1,4,1,13642,5,7,3934
4,5,2,2,1,6,1,13643,9,11,5624
2,3,1,1,2,4,1,13644,2,29,1100
2,2,1,2,2,4,1,13645,5,7,4273
2,4,1,2,2,1,1,13646,11,18,1108
3,7,2,1,1,2,1,13647,17,8,3070
3,5,2,2,2,5,1,13648,4,15,15076
3,4,1,1,1,2,1,13649,1,9,1454
4,5,1,1,1,3,2,13650,13,13,2578
2,3,1,1,1,2,1,13651,4,5,1476
3,6,2,1,1,5,1,13652,2,19,3298
2,3,0,2,2,6,1,13653,3,7,3699
1,1,1,2,2,3,1,13654,3,8,2970
3,7,2,1,1,5,1,13655,2,9,3934
3,5,2,1,1,4,1,13656,2,5,1799
3,4,3,1,1,5,1,13657,3,26,1980
1,5,1,2,1,2,1,13658,3,7,3934
2,3,1,1,1,4,1,13659,5,11,5935
2,4,1,1,1,2,1,13660,2,2,2545
2,5,1,1,1,3,1,13661,1,28,1830
2,5,4,1,1,2,1,13662,1,31,2421
1,2,1,2,2,2,1,13663,2,25,2703
2,3,1,2,1,8,1,13664,2,7,4023
3,6,2,1,1,6,1,13665,1,28,1904
1,2,1,2,1,2,1,13666,1,23,1887
2,3,1,2,1,3,1,13667,1,18,1297
2,5,2,1,1,3,1,13668,4,13,1958
2,4,1,1,1,2,1,13669,2,15,10950
1,3,1,2,1,4,1,13670,15,25,2524
2,5,1,1,1,2,1,13671,5,10,1326
1,3,1,2,2,1,1,13672,2,9,4170
2,4,1,1,2,1,1,13673,1,28,1989
1,1,1,2,1,2,1,13674,3,4,833
2,3,1,2,1,2,1,13675,2,18,1105
1,3,0,2,2,2,1,13676,16,17,1044
2,6,2,1,1,4,1,13677,7,17,1044
2,3,1,2,1,6,1,13678,13,1,1437
1,1,0,2,2,3,1,13679,13,30,7808
1,4,1,2,2,2,1,13680,5,29,1223
1,6,1,2,2,1,1,13681,16,30,7808
1,2,1,2,2,1,1,13682,3,28,1713
1,3,1,1,1,3,1,13683,13,18,1495
3,4,1,1,1,4,1,13684,3,20,2146
1,3,1,2,1,4,1,13685,1,9,3093
4,6,2,1,1,1,1,13686,3,30,8713
3,7,2,1,1,4,1,13687,3,13,2414
2,4,1,2,1,4,1,13688,15,27,1651
1,2,0,2,2,2,1,13689,9,21,6595
1,4,1,2,2,2,1,13690,1,5,1555
2,4,2,2,1,7,1,13691,6,27,2660
