"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
1,1,3,3,37,7,1,1019,101644
2,1,3,3,37,5,1,1019,101644
3,1,3,3,37,6,1,1019,101644
4,1,3,3,37,1,1,1019,101644
5,1,3,3,37,4,1,1019,101644
1,1,3,3,38,1,1,950,101779
2,1,3,3,38,5,1,950,101779
3,1,3,3,38,1,1,950,101779
4,1,3,3,38,5,1,950,101779
5,1,3,3,38,4,1,950,101779
1,1,3,3,39,2,1,951,101791
2,1,3,3,39,6,1,951,101791
3,1,3,3,39,5,1,951,101791
4,1,3,3,39,6,1,951,101791
5,1,3,3,39,2,1,951,101791
1,1,3,3,40,3,1,1011,101830
2,1,3,3,40,1,1,1011,101830
3,1,3,3,40,6,1,1011,101830
4,1,3,3,40,4,1,1011,101830
5,1,3,3,40,4,1,1011,101830
1,1,3,5,41,5,1,1361,101858
2,1,3,5,41,3,1,1361,101858
3,1,3,5,41,3,1,1361,101858
4,1,3,5,41,4,1,1361,101858
5,1,3,5,41,4,1,1361,101858
1,1,3,3,42,5,1,1128,101923
2,1,3,3,42,5,1,1128,101923
3,1,3,3,42,6,1,1128,101923
4,1,3,3,42,4,1,1128,101923
5,1,3,3,42,4,1,1128,101923
1,1,3,5,43,4,1,1416,101931
2,1,3,5,43,4,1,1416,101931
3,1,3,5,43,3,1,1416,101931
4,1,3,5,43,3,1,1416,101931
5,1,3,5,43,2,1,1416,101931
1,1,3,3,44,4,1,1093,101988
2,1,3,3,44,6,1,1093,101988
4,1,3,3,44,1,1,1093,101988
5,1,3,3,44,1,1,1093,101988
1,2,3,3,45,5,1,1058,102023
2,2,3,3,45,5,1,1058,102023
3,2,3,3,45,4,1,1058,102023
4,2,3,3,45,11,1,1058,102023
5,2,3,3,45,5,1,1058,102023
1,2,3,3,46,4,1,1010,102062
2,2,3,3,46,3,1,1010,102062
3,2,3,3,46,5,1,1010,102062
4,2,3,3,46,6,1,1010,102062
5,2,3,3,46,7,1,1010,102062
1,2,3,1,47,5,1,1294,102157
2,2,3,1,47,3,1,1294,102157
3,2,3,1,47,5,1,1294,102157
