"VIV_SEL","HOGAR","N_REN","P3_2","P3_3","P3_5","P4_1","P4_5","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P7_1_1","P7_1_2","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P12_1","P13_1","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P3_12","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_7","P5_29","P5_3","P5_4","P6_18","P6_3","P10_13","P10_8","P11_2_9","P12_2","P12_3","P12_4","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5"
1,1,1,5,3,5,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,0,0,1,0,1,1,2,2,2,36,23,318,505918,1072,3,6,1,1,2,1,1,1,1,1,2,2,1,1,2,3,2,2,1,0,9,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,0,0,0,1,1,2,2,2,39,23,318,505918,2144,3,6,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,0,1,2,3,1,1,2,2,9,1,1,1,1,9,9,1,2,2
3,1,1,2,1,1,2,1,1,1,2,1,9,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,2,42,23,318,505918,2737,3,6,1,1,1,2,1,1,2,1,2,2,2,2,1,3,2,2,1,0,2,1,2,1,2,2,2,9,1,1,1,1,9,9,2,2,9
4,1,1,5,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,0,0,0,0,1,1,2,2,1,53,23,318,505918,4015,1,3,1,1,1,1,1,1,2,1,2,2,1,2,2,3,2,2,2,1,1,1,1,2,1,2,2,9,1,1,9,1,1,2,2,1,2
5,1,2,3,4,6,2,1,2,1,3,3,1,9,9,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,0,1,0,0,1,1,2,2,1,67,23,318,505918,2008,2,6,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,0,3,1,3,1,1,1,2,9,1,1,1,1,2,1,2,2,2
6,1,2,5,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,2,2,2,2,1,0,0,0,1,2,2,2,2,40,23,318,505918,1824,3,3,2,1,2,2,1,2,2,2,2,2,2,2,1,3,2,1,1,0,3,3,3,2,2,2,2,1,9,1,1,9,9,1,1,1,9
7,1,1,1,3,1,2,1,1,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,0,0,0,0,1,1,2,2,2,40,23,318,505918,1824,3,3,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,9,9,9,2,2,2,2,9,9,1,9,1,9,1,2,2,9
8,1,1,5,1,1,2,1,1,1,2,1,9,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,0,0,0,0,2,2,2,2,1,23,23,318,505918,2751,3,3,1,1,1,1,2,1,2,2,2,2,2,2,2,3,2,1,1,1,1,1,3,2,1,2,2,1,9,1,1,1,1,2,1,1,2
9,1,2,5,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,0,0,0,1,2,2,2,1,42,23,318,505918,3082,3,3,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,0,2,2,2,2,2,2,2,1,9,1,1,1,1,2,1,1,2
10,1,1,5,0,5,1,1,1,2,3,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,0,0,0,1,2,2,2,2,24,23,318,505918,2362,3,7,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,0,1,2,3,1,1,2,2,9,9,1,1,1,1,1,2,1,2
12,1,2,1,0,5,1,2,1,1,3,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,9,2,2,2,2,1,0,0,0,1,2,2,2,2,41,23,318,505918,1824,3,3,2,1,2,1,1,1,1,1,2,2,2,1,2,3,2,1,1,0,1,1,3,2,2,2,2,1,9,1,1,1,1,1,1,1,2
14,1,1,5,4,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,0,0,0,1,2,2,2,1,28,23,318,505918,2751,3,3,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,0,2,1,3,1,2,2,2,2,1,1,1,1,2,1,2,2,2
15,1,2,5,7,8,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,2,24,23,318,505918,4725,2,3,2,1,1,2,1,1,2,2,2,2,2,1,2,3,2,2,1,0,1,2,3,1,1,1,2,1,1,1,1,1,1,2,1,1,2
16,1,3,5,2,8,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,34,23,318,505918,2144,2,6,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,3,3,1,2,2,2,1,1,1,1,1,1,2,2,1,2
17,1,1,5,3,1,2,1,3,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,1,33,23,318,505918,2509,3,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,0,1,2,3,1,2,2,2,1,1,1,1,1,2,1,1,1,2
20,1,4,6,3,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,9,2,2,2,2,1,0,0,0,1,1,2,2,2,30,23,318,505918,1072,3,3,1,1,2,1,1,1,2,2,2,2,2,1,1,3,1,2,1,0,1,1,3,1,2,2,2,1,1,1,1,1,1,1,2,1,2
1,1,3,5,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,1,34,24,319,505949,4243,3,3,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,0,2,2,3,1,1,2,2,9,1,1,1,1,9,1,2,2,2
2,1,2,5,3,1,2,1,1,1,1,2,1,9,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,0,0,0,1,2,2,2,2,28,24,319,505949,3995,2,6,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,0,1,1,3,2,1,2,2,9,9,1,1,1,2,2,1,1,2
3,1,1,5,3,1,2,2,1,1,2,2,1,9,9,2,2,2,2,1,2,2,2,2,1,2,1,1,2,9,1,2,2,2,1,0,0,0,1,1,2,2,2,44,24,319,505949,1543,3,3,1,2,1,2,2,1,2,1,2,2,2,2,1,3,2,2,1,0,9,9,9,2,2,2,2,9,9,1,9,1,9,9,2,1,2
4,1,2,5,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,0,0,0,1,2,2,2,2,31,24,319,505949,3625,3,3,2,1,1,1,2,1,2,1,2,2,2,2,1,3,2,2,1,1,9,9,9,1,2,2,2,9,9,1,9,1,9,1,1,1,2
7,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,0,0,1,0,1,1,2,2,1,51,24,319,505949,1698,4,5,1,1,1,2,2,2,2,2,2,2,2,1,1,3,2,1,1,0,2,2,3,1,1,2,2,9,1,1,1,1,9,1,2,2,9
10,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,0,0,0,0,1,1,2,2,2,40,24,319,505949,3085,3,3,1,1,1,2,1,1,2,1,2,2,2,1,1,3,2,2,2,1,2,3,1,1,2,2,2,9,1,1,9,1,2,1,1,2,2
11,1,6,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,0,0,0,1,2,2,2,2,65,24,319,505949,7275,2,6,1,1,1,2,2,2,2,1,2,2,1,2,1,3,2,2,1,0,3,3,3,1,2,1,2,9,9,1,9,1,9,9,1,1,2
12,1,4,5,3,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0,0,0,1,2,2,2,1,42,24,319,505949,3474,3,3,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,0,2,2,3,1,1,1,2,9,9,1,1,1,2,1,2,2,2
13,1,2,5,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,0,1,0,0,1,2,2,2,2,37,24,319,505949,3625,6,8,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,0,2,2,3,1,1,1,2,9,2,1,1,9,2,1,1,1,2
14,1,1,1,5,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,9,2,2,2,2,0,0,1,0,1,2,2,2,1,26,24,319,505949,4653,3,3,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,0,2,3,3,1,1,2,2,9,1,1,1,1,1,2,2,2,2
15,1,2,5,2,8,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,2,32,24,319,505949,3625,3,6,2,1,1,2,2,2,2,2,2,2,2,1,2,3,2,2,1,0,1,3,3,1,2,2,2,1,1,1,1,1,2,2,2,1,2
16,1,3,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,0,0,0,0,1,2,2,2,1,23,24,319,505949,9306,0,0,3,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,9,9,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2
17,1,3,1,1,1,1,2,1,1,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,50,24,319,505949,3582,3,7,2,1,2,1,2,1,2,1,2,2,2,2,2,3,2,2,1,0,2,2,3,2,2,2,2,1,1,1,1,1,1,2,2,1,2
18,1,1,5,4,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,1,34,24,319,505949,4243,3,3,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,0,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2
19,1,4,5,4,1,1,2,3,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,2,37,24,319,505949,3625,3,3,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,0,2,9,3,1,2,2,2,1,1,1,1,1,1,1,2,2,2
20,1,4,1,2,6,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,0,0,1,0,1,2,2,2,1,63,24,319,505949,6790,6,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,0,3,3,3,1,1,2,2,9,1,1,1,1,1,1,2,1,2
2,1,1,5,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,0,0,0,0,1,2,2,2,1,42,27,320,505981,2411,6,2,1,1,1,2,1,2,2,1,2,2,2,2,2,3,2,1,2,1,1,1,3,2,1,2,2,1,1,1,9,1,1,1,1,1,2
4,1,3,6,0,1,2,1,1,1,2,1,1,9,9,2,2,2,1,2,1,2,2,2,2,2,1,1,2,9,1,2,2,2,0,0,0,0,1,2,2,2,2,20,27,320,505981,4158,3,6,3,1,1,1,1,2,2,1,2,2,2,2,1,3,2,1,1,1,9,9,1,2,2,2,2,9,9,1,1,1,1,1,2,1,2
5,1,2,1,3,1,1,2,1,1,3,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,9,2,2,2,2,1,0,0,0,1,2,2,2,1,27,27,320,505981,3229,2,6,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,0,2,2,1,2,2,2,2,1,1,1,9,1,1,1,1,1,2
3,1,2,6,0,4,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,0,0,0,1,4,2,2,1,18,28,321,506020,6789,2,6,3,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,0,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2
4,1,1,6,0,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,0,0,1,1,2,2,2,57,28,321,506020,1742,4,8,1,1,1,2,2,2,1,2,2,2,2,2,1,3,2,2,1,0,2,2,3,1,1,2,2,9,9,1,2,9,1,1,1,1,2
5,1,2,5,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,0,1,1,0,1,2,2,2,2,44,28,321,506020,3001,3,7,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,0,1,1,3,1,1,2,2,9,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,2,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,0,1,0,0,1,2,2,2,2,57,26,322,506135,3045,3,3,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,0,2,1,3,1,2,2,2,1,1,1,1,1,2,1,1,1,2
2,1,1,5,0,1,1,1,1,1,3,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,0,0,0,1,2,2,2,2,51,26,322,506135,3045,3,4,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,0,1,9,2,1,1,2,2,1,9,1,1,1,2,1,2,1,2
3,1,1,1,4,8,1,1,1,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,1,2,2,2,2,35,26,322,506135,3082,4,2,1,2,2,2,1,1,2,1,2,2,2,2,2,3,2,1,2,0,9,9,2,2,2,2,2,1,9,1,1,1,2,2,1,1,2
4,1,1,4,1,8,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,2,2,2,2,47,26,322,506135,3935,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,0,2,2,3,1,1,2,2,1,1,1,1,1,2,1,2,2,2
5,1,2,5,0,8,2,1,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,2,53,26,322,506135,4568,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,1,0,9,9,3,1,2,2,2,9,9,1,1,1,1,1,2,1,2
1,1,1,5,3,1,1,1,2,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,0,0,0,1,2,2,2,1,29,24,323,506337,3534,2,6,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,0,1,3,3,2,1,2,2,1,9,1,1,9,9,1,9,2,2
2,1,1,2,0,5,2,1,3,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,9,2,2,2,2,1,0,0,0,1,1,2,2,2,49,24,323,506337,1171,3,4,1,1,1,2,1,2,2,1,2,2,2,1,2,3,2,1,2,0,2,2,1,1,2,2,2,9,9,1,1,1,2,2,2,1,2
3,1,2,6,0,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,0,0,1,1,1,2,2,1,52,24,323,506337,2578,3,7,5,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,2,0,9,9,1,1,2,2,2,1,9,1,1,1,1,1,1,1,2
5,1,1,5,1,6,2,2,1,1,3,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,2,2,1,63,24,323,506337,2578,6,2,1,1,2,2,2,1,2,2,2,2,1,2,1,3,2,1,1,0,3,3,3,1,1,2,2,9,9,1,1,9,1,1,9,9,9
6,1,1,3,2,1,2,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,0,0,0,1,1,2,2,1,46,24,323,506337,1319,3,6,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,0,3,3,3,1,2,2,2,9,9,1,1,1,1,1,1,1,2
7,1,3,6,0,7,2,1,1,8,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,2,2,2,2,0,0,0,0,1,3,2,2,2,42,24,323,506337,2343,2,6,3,1,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,1,9,9,3,2,2,2,2,9,9,9,9,9,1,2,2,1,2
9,1,1,5,0,8,1,1,1,1,1,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,1,9,2,2,2,2,2,0,0,0,0,9,2,2,2,2,53,24,323,506337,2720,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,1,9,9,9,2,2,2,2,9,9,1,9,1,2,2,2,1,2
11,1,1,5,3,1,2,1,1,2,3,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,0,0,0,1,2,2,2,1,40,24,323,506337,2639,3,6,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,3,3,2,2,1,2,2,9,9,1,1,1,1,1,9,1,2
13,1,1,5,4,1,2,2,1,1,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,1,2,2,2,1,0,0,0,1,2,2,2,1,57,24,323,506337,5157,3,3,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,0,3,3,3,1,2,2,2,9,9,1,1,1,2,1,1,1,2
14,1,1,2,0,1,2,1,1,1,2,3,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,1,0,1,1,2,2,1,59,24,323,506337,1289,6,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,0,3,3,3,1,1,1,2,9,1,1,1,9,2,1,1,2,2
17,1,1,5,4,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,0,0,0,1,2,2,2,1,45,24,323,506337,2639,5,8,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,0,2,2,3,1,1,2,2,9,1,1,1,9,1,1,1,1,2
18,1,1,4,0,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,1,66,24,323,506337,1289,6,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,0,2,2,3,1,2,2,2,9,1,1,1,1,2,1,2,2,2
19,1,1,6,1,1,1,1,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,0,0,0,1,2,2,2,2,53,24,323,506337,2720,1,3,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,0,2,2,3,2,2,2,2,9,9,1,1,1,2,2,2,1,2
1,1,2,5,0,1,2,1,3,2,3,1,1,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,57,23,324,506403,3440,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,3,2,2,2,1,9,9,9,1,2,2,2,9,9,1,1,1,2,2,2,1,2
2,1,1,6,2,8,2,1,1,1,3,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,24,23,324,506403,1918,5,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,9,9,3,2,2,2,2,1,9,1,9,1,9,2,9,1,2
3,1,4,6,2,1,2,1,1,3,2,2,9,9,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,1,22,23,324,506403,4468,3,6,6,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,0,9,9,2,2,2,2,2,9,9,9,9,1,9,9,9,9,9
4,1,3,6,1,1,2,1,2,1,1,1,1,9,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,9,2,2,2,2,0,0,0,0,1,4,2,2,2,25,23,324,506403,7673,3,4,3,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,9,9,9,9,1,9,1,9,1,2
5,1,1,5,3,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,2,40,23,324,506403,2963,2,8,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,0,2,2,3,1,1,2,1,9,9,1,9,1,9,1,1,2,2
6,1,2,5,0,5,2,2,3,1,3,3,1,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,9,2,0,0,0,0,1,2,2,2,2,42,23,324,506403,4444,3,3,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,9,9,3,2,2,2,2,9,9,1,9,1,1,2,2,1,2
7,1,3,6,0,4,1,1,1,1,3,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,2,1,0,0,0,1,4,2,2,1,21,23,324,506403,6702,4,8,3,1,1,2,2,1,2,1,2,2,1,1,2,3,2,1,1,0,2,2,3,2,1,2,2,9,9,1,1,1,1,1,1,1,2
11,1,1,4,0,5,2,2,1,1,1,3,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,2,69,23,324,506403,1747,6,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,0,2,1,3,1,2,2,2,9,1,1,1,1,1,1,2,1,2
12,1,1,2,0,5,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,0,1,1,2,2,2,2,56,23,324,506403,3440,3,3,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,0,2,1,3,1,2,2,2,9,1,1,9,1,9,2,2,1,2
13,1,1,2,3,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,0,0,1,0,1,2,2,2,1,63,23,324,506403,1630,6,2,1,1,2,2,1,1,2,1,2,2,1,1,2,3,2,2,2,0,3,2,3,1,1,2,2,9,1,1,1,9,1,2,2,1,2
14,1,2,1,1,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,1,0,0,1,1,2,2,2,33,23,324,506403,3481,3,3,2,1,2,1,1,1,1,1,2,2,2,1,1,3,2,1,2,0,1,1,3,2,1,2,2,1,9,1,9,1,1,1,1,1,2
15,1,2,5,4,8,2,2,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,2,2,2,64,23,324,506403,3493,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,0,9,9,9,1,2,2,2,9,1,1,1,1,1,2,2,1,2
16,1,1,5,0,8,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0,0,0,1,1,2,2,2,43,23,324,506403,4444,2,6,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,0,2,2,3,2,2,2,2,1,1,1,1,1,1,1,2,1,2
17,1,1,1,6,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,1,47,23,324,506403,3336,3,4,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,0,3,3,3,1,1,1,2,9,1,1,1,1,1,2,1,1,2
20,1,1,5,5,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,2,2,2,1,42,23,324,506403,5005,3,3,1,1,2,1,2,1,2,2,2,2,2,1,2,3,2,2,2,0,2,2,3,1,1,2,2,9,1,1,1,1,1,1,1,1,2
1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,0,0,1,0,1,2,3,2,1,47,23,325,506555,4232,3,3,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,0,2,2,3,2,1,2,2,9,9,1,9,9,1,2,1,2,2
2,1,1,5,2,6,2,2,3,2,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,2,3,2,1,69,23,325,506555,3102,2,3,1,2,2,1,2,1,2,2,2,2,2,2,1,3,2,1,2,0,9,9,3,1,1,2,2,9,9,1,1,1,1,1,2,1,2
4,1,2,5,4,5,2,2,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,2,3,2,2,62,23,325,506555,2215,4,2,2,2,2,2,1,2,2,1,2,2,2,2,2,3,2,1,2,0,1,1,3,1,2,2,2,9,1,1,1,1,2,2,2,1,2
5,1,2,1,0,5,2,2,3,2,1,3,9,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,9,2,2,1,0,0,0,1,2,3,2,2,69,23,325,506555,4431,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,2,2,1,0,9,9,3,1,1,2,2,9,9,1,1,1,1,1,2,1,2
6,1,1,6,3,8,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,0,0,0,1,1,3,2,1,58,23,325,506555,1034,4,8,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,1,0,1,1,3,1,1,1,2,9,9,1,1,9,1,1,2,1,2
7,1,1,5,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,0,0,0,1,2,3,2,1,50,23,325,506555,2068,5,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,0,1,1,1,1,1,1,2,9,9,1,1,9,1,1,1,1,2
8,1,1,5,2,1,1,1,1,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,0,0,0,1,2,3,2,1,57,23,325,506555,2068,6,8,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,0,1,1,3,1,1,1,2,9,2,1,1,1,1,1,2,2,2
