UPM,VIV_SEL,HOGAR,R_SEL,P3_1,P3_2,P3_3,NIV,GRA,P3_5,P3_6,P3_7,P3_8_1,P3_8_2,P3_9,P3_10,P3_11,P3_12,P4_1,P4_2,P4_3,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_4A,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7_5,P4_7_6,P4_7A,P4_8,P4_8A,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_2_1,P5_2_2,P5_2_3,P5_2_4,P5_2_5,P5_2_6,P5_2_7,P5_2_8,P5_2A,P5_3,P5_4,P5_5,P5_6,P5_6A,P5_7_1,P5_7_2,P5_7_3,P5_7_4,P5_7_5,P5_7_6,P5_7A,P5_8_1,P5_8_2,P5_8_3,P5_8_4,P5_8_5,P5_8_6,P5_8_7,P5_8A,P5_9,P5_10_1,P5_10_2,P5_10_3,P5_10_4,P5_10A,P5_11_1,P5_12_1,P5_13_1,P5_14_1,P5_15_1,P5_16_1,P5_11_2,P5_12_2,P5_13_2,P5_14_2,P5_15_2,P5_16_2,P5_11_3,P5_12_3,P5_13_3,P5_14_3,P5_15_3,P5_16_3,P5_11_4,P5_12_4,P5_13_4,P5_14_4,P5_16_4,P5_11_5,P5_12_5,P5_13_5,P5_14_5,P5_16_5,P5_11_6,P5_11_6A,P5_12_6,P5_13_6,P5_14_6,P5_15_6,P5_16_6,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_17_5,P5_17_6,P5_17_7,P5_17_8,P5_17_9,P5_17A,P5_18,P5_19,P5_20,P5_21,P5_22,P5_23,P5_23A,P5_24,P5_24A,P5_25_1,P5_26_1,P5_27_1_1,P5_27_1_2,P5_27_1_3,P5_27_1_4,P5_27_1_5,P5_27_1_6,P5_27_1_7,P5_27_1_8,P5_28_1,P5_29_1,P5_29_1A,P5_30_1,P5_30_1A,P5_25_2,P5_26_2,P5_27_2_1,P5_27_2_2,P5_27_2_3,P5_27_2_4,P5_27_2_5,P5_27_2_6,P5_27_2_7,P5_27_2_8,P5_28_2,P5_29_2,P5_29_2A,P5_30_2,P5_30_2A,P5_31,P5_32_1,P5_32_2,P5_32_2A,P6_1_1,P6_2_1,P6_1_2,P6_2_2,P6_1_3,P6_2_3,P6_1_4,P6_2_4,P6_1_5,P6_1_5A,P6_2_5,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_3A,P6_4,P6_5,TLOC,EST_DIS,UPM_DIS,FACTOR,SEXO,EDAD,FAC_PER
0100179,02,01,01,1,5,1,2,6,1,,2,03200,2,1,3,1,2,2,,5,1,1,1,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,2,1,2,2,2,1,1,1,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,2,2,2,2,2,2,2,,1,2,,2,,2,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,003,00003,05607,1,65,16834
0101598,03,01,02,2,5,1,3,3,1,,2,00700,1,1,2,1,2,2,,4,2,2,2,1,1,1,2,,2,,,,,,,,,,,,,1,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,01,,,,,1,1,2,2,2,2,2,2,2,2,,6,SIEMPRE PAGA EN EFECTIVO,,,2,,,,,,,,,,,,,7,NO LE INTERESA,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00019,06541,2,48,26164
0101627,01,01,03,3,6,1,6,3,1,,2,02300,2,1,2,1,1,1,1,3,1,2,1,1,1,2,2,,1,1,2,2,2,2,2,1,2,2,1,2,,1,,1,1,2,1,2,1,1,2,2,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,1,1,3,1,2,2,1,2,2,1,1,1,2,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,2,2,2,2,2,2,2,2,1,TODAVIA NO TIENE PENSADO EN QUE GASTARLO,1,2,,2,,1,,6,LE ES MAS  FACIL DE ESA MANERA,1,1,2,2,2,1,1,2,2,2,04,,,,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00020,04767,2,20,19083
0101842,03,01,01,1,2,1,2,6,5,4,,,,,,1,1,1,1,4,2,2,1,1,1,1,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,01,,,,,2,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,7,NO SABE NADA DE ESO NI COMO FUNCIONA,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,002,00022,06032,2,23,06032
0101071,01,01,02,2,5,1,8,5,3,4,,,,,,1,1,1,1,3,2,1,2,1,2,1,2,,1,1,2,2,2,2,2,2,2,2,1,2,,1,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,,1,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00015,04794,2,26,09595
0101071,03,01,04,3,1,1,3,3,5,4,,,,,,1,2,2,,1,2,2,1,1,2,1,2,,2,,,,,,,,,,,,,1,,2,2,2,1,2,2,2,2,2,2,2,2,2,1,PAGAR DEUDAS,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,1,2,2,,2,,,2,2,2,2,2,1,2,2,2,,2,2,1,003,00015,04794,2,23,38381
0101187,01,01,01,1,5,1,2,2,6,4,,,,,,1,2,2,,4,1,2,1,1,1,1,2,,2,,,,,,,,,,,,,1,,2,2,1,1,2,2,2,2,2,2,2,1,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,2,,7,NO SABIA QUE SE PUEDE UTILIZAR,,,2,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,003,00016,06096,1,70,12201
0101727,04,01,01,1,5,1,8,5,1,,2,16000,3,1,2,1,1,1,1,3,2,1,1,1,1,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,1,1,1,1,1,2,2,2,2,1,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,03,,,,,1,4,1,1,1,1,1,2,2,2,02,,,,,1,4,1,1,1,1,1,2,2,2,01,,,,,2,,,,1,2,1,1,2,,2,,2,,,2,2,2,2,1,2,2,2,2,,1,,1,004,00021,06940,1,34,13932
0101598,02,01,02,3,6,1,3,3,1,,2,00500,1,1,7,1,1,2,,5,2,2,2,1,2,1,2,,1,1,2,2,2,2,1,2,2,1,2,2,,1,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,1,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,002,00019,06541,1,21,19623
0101187,03,01,01,1,1,1,2,6,1,,2,01200,1,1,7,1,1,2,,5,2,1,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,1,1,2,2,2,2,2,1,2,2,2,2,,2,2,2,9,NO ALCANSA A AHORAR SE VIVE AL DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00016,06096,1,27,12201
0101187,05,01,01,1,5,1,3,3,1,,2,00850,1,1,2,1,2,2,,4,2,1,1,1,2,1,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,1,1,2,2,2,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,03,,,,,2,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,4,,2,,,,2,,1,2,2,,2,,2,,,1,2,2,2,2,2,2,2,2,,1,,1,003,00016,06096,1,41,12201
0100097,05,01,02,3,3,1,2,6,5,2,2,00600,1,2,2,1,2,1,2,3,1,1,2,1,2,2,2,,1,1,2,2,1,2,2,2,2,1,2,1,COMPRABA TIMBRES Y LLENBAN TARJETAS  QUE  CAMBIAN A FIN DE AÑO,1,,2,2,1,2,2,2,2,2,2,2,2,2,2,1,PARA SU FUTURO,1,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00002,05545,2,56,05545
0100179,01,01,02,3,6,2,0,0,1,,2,00450,1,2,1,2,,2,,5,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,1,2,,1,,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00003,05607,1,46,16834
0100179,03,01,05,3,6,1,3,3,1,,2,01000,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,,2,,,,,,,,,,,,,1,,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,9,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,03,,,,,2,,,,,,,,,,,,,5,,1,4,2,2,2,1,2,2,2,2,01,,,,,2,,,,1,2,2,,1,1,2,,2,,,2,1,2,2,1,2,2,2,2,,1,,1,003,00003,05607,2,30,33668
0100179,05,01,02,2,5,1,6,3,1,,2,03000,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,2,1,2,2,2,2,2,2,,1,1,2,1,03,,,,,1,1,2,2,2,1,2,2,2,2,02,,,,,2,,,,,,,,,,,,,1,,1,1,3,TODAS LAS BANCAS ESTABLECIDAS,1,2,2,,2,,2,,2,,,2,1,2,2,2,2,2,2,2,,1,,1,003,00003,05607,2,41,28056
0100077,04,01,01,1,1,1,6,1,1,,2,01900,1,1,1,1,1,1,2,3,1,1,2,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,1,2,2,1,2,2,2,2,1,2,2,2,,1,2,1,,,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,2,,2,,2,,2,,,2,2,2,2,1,1,2,2,2,,2,2,1,002,00001,05712,1,39,11424
0100077,05,01,01,1,1,1,3,3,1,,2,03084,3,2,2,1,2,2,,1,2,1,1,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,2,1,LE GUARDABAN SUS PAPAS EL DINERO,1,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,2,2,2,2,2,2,2,,2,,,2,,1,,2,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,6,,2,,,,1,2,1,2,2,,1,1,2,,,1,2,2,2,2,2,2,2,2,,2,2,1,002,00001,05712,1,28,11424
0101842,04,01,01,1,4,2,0,0,1,,2,01100,1,1,1,1,2,2,,2,1,1,1,1,1,2,2,,2,,,,,,,,,,,,,1,,2,2,1,1,2,2,2,2,2,2,2,2,2,1,PARA REGALOS DE NAVIDAD,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,2,3,1,9,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,2,2,2,2,2,2,2,1,PARA LOS REGALOS DE NAVIDAD Y LA CENA,,,,1,03,,,,,2,,,,,,,,,,,,,7,NO SABE LEER NI ESCRIBIR POR ESO NO SABE  COMO SE USA,2,,,,,,,,,,,,,3,,2,,,,2,,2,,2,,1,1,2,,,2,2,2,2,1,2,2,2,2,,1,,1,002,00022,06032,2,65,12064
0101727,03,01,01,1,5,1,2,6,8,1,2,00200,1,2,3,1,2,2,,3,2,2,1,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,2,2,2,2,2,2,2,2,,2,,,2,,1,,6,PORQUE SE LE HACE MENOS COMPLICADO,2,,,,,,,,,,,,,7,POE DECIDIA,2,,,,,,,,,,,,,7,POR DECIDIA Y NO SABE MANEJAR LOS SISTEMAS,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,004,00021,06940,1,69,13932
0101071,05,01,01,1,5,1,3,3,6,4,,,,,,1,2,1,1,5,2,2,1,1,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,1,2,2,2,2,2,2,2,2,1,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,2,,1,,6,NO LE GUAST USARLA,2,,,,,,,,,,,,,7,NO LE INTRESA,2,,,,,,,,,,,,,7,NO LE INTERESA,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00015,04794,1,61,09595
0100850,04,01,01,1,5,1,3,3,1,,2,01500,1,1,2,2,,2,,3,1,1,2,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,1,,6,MAS CONTROL DEL DINERO,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00011,05945,1,30,11899
0100727,03,01,01,1,3,1,2,6,1,,2,00600,1,1,2,1,2,2,,5,1,1,2,1,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,1,1,2,,2,,2,,,2,1,2,2,2,2,2,2,2,,2,2,1,002,00008,06268,2,55,18804
0100727,01,01,01,1,2,1,2,6,1,,2,00700,1,1,2,1,2,1,1,4,2,2,1,1,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,PARA PAGAR DEUDAS,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,1,,4,,2,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,4,,2,,,,1,2,2,,2,,1,1,2,,,2,1,2,2,2,2,2,2,2,,2,2,1,002,00008,06268,2,56,12536
0101499,05,01,04,5,6,1,2,5,5,4,,,,,,1,1,2,,4,1,1,2,2,1,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,1,1,2,2,2,1,2,2,2,2,2,2,2,,2,2,2,9,NO TIENE TRABAJO SOLO AHORRA LO QUE LE DAN  SUS PAPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00018,05213,2,18,15639
0100679,01,01,03,3,6,1,6,3,8,4,,,,,,1,1,2,,5,2,2,2,1,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,1,2,1,,,,,,,,,,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,004,00007,06365,2,21,19166
