UPM,VIV_SEL,HOGAR,N_REN,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER,GRA,NIV,P3_1,P3_12,P3_2,P3_3,P3_5,P4_1,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_7,P4_8_1,P4_8_2,P4_8_3,P4_8_4,P4_9_1,P4_9_2,P4_9_3,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_29,P5_3,P5_4,P6_18,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_3,P10_1,P10_13,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_2_2,P13_2_3,P13_2_4,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P9_1,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5
100283,2,1,1,60,1,3,1,4,7,1005,5,8,1,1,3,3,6,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,1,1,2,3.0,3,1,1,2,2,2,1,1,9,9,1,9,1,2,2,2,1,2,2,2
100283,3,1,1,63,2,3,1,4,7,2768,3,3,1,1,4,0,1,1,1,2,2,2,1,2,2,1,2,1,1,3,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,0,1,0,0,0,1,3,3.0,3,1,1,1,2,2,1,1,9,1,7,1,1,1,2,2,1,2,2,2
100283,5,1,1,30,1,3,1,4,7,1205,4,8,1,1,6,0,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,0,1,0,0,0,1,3,3.0,3,1,2,1,2,2,1,1,1,1,1,1,1,2,9,2,1,1,2,2
100298,4,1,1,67,1,3,1,5,8,3717,3,7,1,2,5,2,6,2,1,2,2,2,1,2,2,1,2,1,1,3,1,1,1,1,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,0,1,0,0,0,1,2,2.0,2,2,1,1,2,2,1,1,9,9,1,1,1,2,2,2,1,2,2,2
100320,1,1,1,55,1,3,1,4,9,8399,5,8,1,1,5,4,1,1,2,1,1,1,2,1,2,1,2,1,1,9,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,0,0,0,0,1,1,2.0,3,2,2,2,2,2,1,2,9,2,1,1,9,2,1,1,1,2,2,2
100320,2,1,4,42,1,3,1,4,9,3270,3,3,5,1,5,3,1,2,1,2,1,2,2,2,2,1,2,1,1,2,3,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,1,2,2.0,3,2,1,1,2,2,1,1,9,9,1,1,9,2,1,2,9,1,1,2
100320,3,1,3,59,1,3,1,4,9,3360,6,2,3,2,6,2,1,2,2,2,2,1,2,2,2,2,2,1,1,3,3,1,1,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,3.0,3,2,2,1,2,2,1,1,1,9,1,1,1,2,2,1,2,2,2,2
100320,4,1,1,64,1,3,1,4,9,4135,2,9,1,1,5,5,6,2,2,2,2,1,2,2,2,2,2,1,1,1,3,2,2,8,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,1,1,2,2,2,0,0,0,0,1,1,2,9.0,9,1,1,1,2,2,1,1,9,1,1,1,9,2,2,2,1,2,2,2
100320,5,1,3,30,2,3,1,4,9,3030,3,3,5,1,1,0,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,3,2,2,2,2,2,2,1,2,1,2,2,2,0,0,0,0,1,1,9,,3,2,2,2,2,2,1,1,9,9,1,1,1,2,1,1,1,2,1,2
100340,1,1,1,36,1,3,1,4,10,2566,2,9,1,1,5,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,2,1,1,1,2,2,2,0,0,1,0,0,1,1,1.0,3,2,2,1,2,2,1,2,9,1,1,1,9,2,1,2,1,1,2,2
100340,2,1,1,70,1,3,1,4,10,2139,2,3,1,2,5,1,6,1,1,1,2,1,2,2,2,2,1,1,1,8,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,0,0,0,0,1,2,1.0,3,3,1,1,2,2,1,1,9,9,1,1,9,2,2,2,1,2,2,2
100340,3,1,2,27,2,3,1,4,10,2840,3,3,3,1,6,0,1,2,2,2,1,1,2,1,2,1,2,1,1,1,3,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,1,0,0,1,3,9.0,3,2,2,2,2,2,1,1,9,9,1,1,1,2,9,2,1,1,2,2
100340,4,1,1,27,1,3,1,4,10,2212,2,8,1,1,1,5,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,3,2,1,1,1,2,2,1,1,1,2,2,2,0,1,0,0,0,1,2,1.0,3,2,2,1,2,1,1,1,1,1,1,9,9,1,1,2,1,1,1,2
