UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,REGION,TLOC,EST_DIS,UPM_DIS,FAC_HOG
100446,2,1,2,2,46,3,1,3,12,1086
100446,2,1,3,1,25,3,1,3,12,1086
100446,3,1,1,1,61,3,1,3,12,1086
100446,3,1,2,2,61,3,1,3,12,1086
100446,3,1,3,1,37,3,1,3,12,1086
100446,4,1,1,1,69,3,1,3,12,1086
100446,4,1,2,2,57,3,1,3,12,1086
100446,5,1,1,1,42,3,1,3,12,1086
100446,5,1,2,2,32,3,1,3,12,1086
100446,5,1,3,1,15,3,1,3,12,1086
100446,5,1,4,1,12,3,1,3,12,1086
100446,5,1,5,2,10,3,1,3,12,1086
100451,1,1,1,1,60,3,1,3,13,1113
100451,1,1,2,2,7,3,1,3,13,1113
100451,2,1,1,2,50,3,1,3,13,1113
100451,2,1,2,1,62,3,1,3,13,1113
100451,2,1,3,1,32,3,1,3,13,1113
100451,2,1,4,1,22,3,1,3,13,1113
100451,2,1,5,1,12,3,1,3,13,1113
100451,3,1,1,1,69,3,1,3,13,1113
100451,3,1,2,2,55,3,1,3,13,1113
100451,4,1,1,2,66,3,1,3,13,1113
100451,4,1,2,2,36,3,1,3,13,1113
100451,4,1,3,2,34,3,1,3,13,1113
100451,4,1,4,1,17,3,1,3,13,1113
100451,4,1,5,2,12,3,1,3,13,1113
100451,4,1,6,1,10,3,1,3,13,1113
100451,4,1,7,2,9,3,1,3,13,1113
100451,4,1,8,1,6,3,1,3,13,1113
100451,5,1,1,2,48,3,1,3,13,1113
100451,5,1,2,2,15,3,1,3,13,1113
100451,5,1,3,1,13,3,1,3,13,1113
100451,5,1,4,2,11,3,1,3,13,1113
100483,1,1,1,2,27,3,1,4,14,1217
100483,1,1,2,1,3,3,1,4,14,1217
100483,2,1,1,1,65,3,1,4,14,1217
100483,2,1,2,2,64,3,1,4,14,1217
100483,3,1,1,1,72,3,1,4,14,1217
100483,3,1,2,2,71,3,1,4,14,1217
100483,3,1,3,1,30,3,1,4,14,1217
100483,3,1,4,2,30,3,1,4,14,1217
100483,3,1,5,1,2,3,1,4,14,1217
100483,4,1,1,2,26,3,1,4,14,1217
100483,4,1,2,1,30,3,1,4,14,1217
100483,5,1,1,1,69,3,1,4,14,1217
100483,5,1,2,2,70,3,1,4,14,1217
100483,5,1,3,2,36,3,1,4,14,1217
100502,1,1,1,1,58,3,1,5,15,1495
100502,1,1,2,2,54,3,1,5,15,1495
100502,1,1,3,1,23,3,1,5,15,1495
100502,1,1,4,1,22,3,1,5,15,1495
100502,2,1,1,1,78,3,1,5,15,1495
100502,2,1,2,2,79,3,1,5,15,1495
100502,3,1,1,2,54,3,1,5,15,1495
100502,3,1,2,1,23,3,1,5,15,1495
100502,3,1,3,2,19,3,1,5,15,1495
100502,4,1,1,1,45,3,1,5,15,1495
100502,4,1,2,2,44,3,1,5,15,1495
100502,4,1,3,1,11,3,1,5,15,1495
100502,4,1,4,2,7,3,1,5,15,1495
100502,4,1,5,2,8,3,1,5,15,1495
100502,5,1,1,1,67,3,1,5,15,1495
100502,5,1,2,2,61,3,1,5,15,1495
100504,2,1,1,1,55,3,1,5,16,1388
100504,2,1,2,2,54,3,1,5,16,1388
100504,2,1,3,2,25,3,1,5,16,1388
100504,2,1,4,1,52,3,1,5,16,1388
100504,3,1,1,2,53,3,1,5,16,1388
100504,3,1,2,1,62,3,1,5,16,1388
100504,3,1,3,2,31,3,1,5,16,1388
100504,3,1,4,1,26,3,1,5,16,1388
100504,4,1,1,1,37,3,1,5,16,1388
100504,4,1,2,2,35,3,1,5,16,1388
100504,4,1,3,2,14,3,1,5,16,1388
100504,4,1,4,1,11,3,1,5,16,1388
100504,4,1,5,2,5,3,1,5,16,1388
100565,1,1,1,2,40,3,1,4,17,1217
100565,1,1,2,2,14,3,1,4,17,1217
100565,1,1,3,1,10,3,1,4,17,1217
100565,2,1,1,1,47,3,1,4,17,1217
100565,2,1,2,2,46,3,1,4,17,1217
100565,2,1,3,1,23,3,1,4,17,1217
100565,2,1,4,2,23,3,1,4,17,1217
100565,2,1,5,2,14,3,1,4,17,1217
100565,3,1,1,1,58,3,1,4,17,1217
100565,3,1,2,2,56,3,1,4,17,1217
100565,3,1,3,2,23,3,1,4,17,1217
100565,4,1,1,1,59,3,1,4,17,1217
100565,4,1,2,2,53,3,1,4,17,1217
100565,4,1,3,2,19,3,1,4,17,1217
100565,4,1,4,1,10,3,1,4,17,1217
100565,5,1,1,2,50,3,1,4,17,1217
100565,5,1,2,2,22,3,1,4,17,1217
100601,1,1,1,2,23,3,1,4,18,1177
100601,2,1,1,1,74,3,1,4,18,1177
100601,2,1,2,2,65,3,1,4,18,1177
100601,3,1,1,2,67,3,1,4,18,1177
100601,4,1,1,1,36,3,1,4,18,1177
100601,4,1,2,2,47,3,1,4,18,1177
100601,5,1,1,1,70,3,1,4,18,1177
100601,5,1,2,2,70,3,1,4,18,1177
100601,5,1,3,1,3,3,1,4,18,1177
100628,1,1,1,1,59,3,1,4,19,1218
100628,1,1,2,2,59,3,1,4,19,1218
100628,1,1,3,2,29,3,1,4,19,1218
100628,1,1,4,2,27,3,1,4,19,1218
100628,1,1,5,1,25,3,1,4,19,1218
100628,2,1,1,1,54,3,1,4,19,1218
100628,2,1,2,2,52,3,1,4,19,1218
100628,2,1,3,2,16,3,1,4,19,1218
100628,3,1,1,1,56,3,1,4,19,1218
100628,3,1,2,2,53,3,1,4,19,1218
100628,3,1,3,1,21,3,1,4,19,1218
100628,3,1,4,2,12,3,1,4,19,1218
100628,4,1,1,1,57,3,1,4,19,1218
100628,4,1,2,2,53,3,1,4,19,1218
100628,4,1,3,2,33,3,1,4,19,1218
100628,4,1,4,1,31,3,1,4,19,1218
100628,4,1,5,1,28,3,1,4,19,1218
100628,4,1,6,2,5,3,1,4,19,1218
100628,4,1,7,2,1,3,1,4,19,1218
100628,5,1,1,2,52,3,1,4,19,1218
100628,5,1,2,2,21,3,1,4,19,1218
100628,5,1,3,1,15,3,1,4,19,1218
100699,1,1,1,1,40,3,1,4,20,1260
100699,1,1,2,2,38,3,1,4,20,1260
100699,1,1,3,2,19,3,1,4,20,1260
100699,1,1,4,2,11,3,1,4,20,1260
100699,1,1,5,2,6,3,1,4,20,1260
100699,2,1,1,1,43,3,1,4,20,1260
100699,2,1,2,2,26,3,1,4,20,1260
100699,2,1,3,1,16,3,1,4,20,1260
100699,2,1,4,2,5,3,1,4,20,1260
100699,2,1,5,1,2,3,1,4,20,1260
100699,3,1,1,1,37,3,1,4,20,1260
100699,3,1,2,2,34,3,1,4,20,1260
100699,3,1,3,1,13,3,1,4,20,1260
100699,3,1,4,2,9,3,1,4,20,1260
100699,3,1,5,2,7,3,1,4,20,1260
100699,4,1,1,1,51,3,1,4,20,1260
100699,4,1,2,2,41,3,1,4,20,1260
100699,4,1,3,2,20,3,1,4,20,1260
100699,4,1,4,2,14,3,1,4,20,1260
100699,5,1,1,2,57,3,1,4,20,1260
100699,5,1,2,1,52,3,1,4,20,1260
100703,1,1,1,1,40,3,1,4,21,1233
100703,1,1,2,2,37,3,1,4,21,1233
100703,1,1,3,1,12,3,1,4,21,1233
100703,1,1,4,2,11,3,1,4,21,1233
100703,1,1,5,1,8,3,1,4,21,1233
100703,1,1,6,2,5,3,1,4,21,1233
100703,1,1,7,1,3,3,1,4,21,1233
100703,2,1,1,1,50,3,1,4,21,1233
100703,2,1,2,2,41,3,1,4,21,1233
100703,2,1,3,1,17,3,1,4,21,1233
100703,2,1,4,2,15,3,1,4,21,1233
100703,3,1,1,1,81,3,1,4,21,1233
100703,3,1,2,2,76,3,1,4,21,1233
100703,4,1,1,2,54,3,1,4,21,1233
100703,5,1,1,1,36,3,1,4,21,1233
100703,5,1,2,2,35,3,1,4,21,1233
100703,5,1,3,1,20,3,1,4,21,1233
100714,1,1,1,1,56,3,1,4,22,1090
100714,2,1,1,1,44,3,1,4,22,1090
100714,2,1,2,2,42,3,1,4,22,1090
100714,2,1,3,2,18,3,1,4,22,1090
100714,2,1,4,1,14,3,1,4,22,1090
100714,3,1,1,1,33,3,1,4,22,1090
100714,3,1,2,2,32,3,1,4,22,1090
100714,3,1,3,2,11,3,1,4,22,1090
100714,3,1,4,1,9,3,1,4,22,1090
100714,3,1,5,1,6,3,1,4,22,1090
100714,4,1,1,2,39,3,1,4,22,1090
100714,4,1,2,2,21,3,1,4,22,1090
100714,4,1,3,1,21,3,1,4,22,1090
