UPM,VIV_SEL,HOGAR,N_REN,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6_1,P8_7_1,P8_8_1,P8_9_1,P8_10_1,P8_11_1,P8_6_2,P8_7_2,P8_8_2,P8_9_2,P8_10_2,P8_11_2,P8_6_3,P8_7_3,P8_8_3,P8_9_3,P8_10_3,P8_11_3,P8_6_4,P8_7_4,P8_8_4,P8_9_4,P8_10_4,P8_11_4,P8_6_5,P8_7_5,P8_8_5,P8_9_5,P8_10_5,P8_11_5,P8_6_6,P8_6_7,P8_6_8,P8_12_1,P8_12_2,P8_12_3,P8_12_4,P8_12_5,P8_13,P8_14_1,P8_14_2,P8_14_3,P8_14_4,P8_14_5,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5,P10_1,P10_2,P10_3_1,P10_3_2,P10_3_3,P10_3_4,P10_3_5,P10_3_6,P10_3_7,P10_4_1,P10_4_2,P10_5,P10_6_1,P10_6_2,P10_7_1,P10_7_2,P10_8,P10_9,P10_10_1,P10_10_2,P10_10_3,P10_10_4,P10_10_5,P10_10_6,P10_10_7,P10_11_1,P10_11_2,P10_12,P10_13,P10_14,P10_15_1,P10_15_2,P10_16,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P11_3,P11_4_1,P11_5_1,P11_6_1,P11_4_2,P11_5_2,P11_6_2,P11_4_3,P11_5_3,P11_6_3,P11_4_4,P11_5_4,P11_6_4,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_3_1,P13_4_1,P13_2_2,P13_3_2,P13_4_2,P13_2_3,P13_3_3,P13_4_3,P13_2_4,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER
0360016,19,01,02,1,1,9,9,1,9,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,2,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,10,000,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,2,1,9,2,1,1,2,2,,,2,,,2,63,2,1,4,013,00170,628
0360050,02,01,01,1,1,9,1,1,1,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,1,2,2,2,2,4,,,,,,,,,,,,,,,2,7,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,1,1,1,1,1,1,1,1,1,2,21,2,1,4,013,00171,727
0360050,03,01,03,1,1,9,9,9,9,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,1,2,2,2,1,,1,1,0,0,0,0,0,99,99,200,99,99,1,2,2,2,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,2,3,2,2,,,2,,,2,,,2,20,1,1,4,013,00171,2493
0360050,04,01,02,1,1,9,1,1,1,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,4,,,,,,,,,,,,,,,2,7,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,2,3,1,1,5,3,1,2,3,2,,,2,59,2,1,4,013,00171,1285
0360050,05,01,01,1,1,9,1,1,1,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,2,2,2,4,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,2,3,1,2,,,2,,,2,,,2,53,1,1,4,013,00171,647
0360050,06,01,01,1,2,9,9,1,1,9,1,,,,,1,1,1,1,1,,1,1,1,1,1,,2,,,,,,2,,,,,,1,2,,,1,,2,1,2,1,2,2,,2,1,1,2,2,2,2,1,,12,2,5,2,2,7,1,1,2,2,2,1,,1,1,0,0,0,0,0,01,40,999,00,02,1,2,1,,1,1,0,1,0,0,0,01,40,999,1,,99,99,999,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,2,2,3,2,1,3,2,1,1,2,2,,,2,44,1,1,4,013,00171,1115
0360050,07,01,02,1,1,9,9,1,9,9,2,1,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,2,2,,,,,,,1,2,1,1,2,2,8,,,,,,,,,,,,,,,2,8,,,,,,,,,,,2,8,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,9,3,1,1,2,2,,,2,,,2,58,2,1,4,013,00171,1285
0360050,08,01,02,1,2,9,9,1,9,9,2,1,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,1,,,,,,,,,,,,2,1,,,,,,,1,2,2,2,2,2,8,,,,,,,,,,,,,,,2,7,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,9,2,1,1,2,2,,,2,,,2,67,2,1,4,013,00171,677
0360050,10,01,01,1,1,1,9,1,1,9,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,01,2,2,2,3,,9,1,1,1,2,2,4,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,01,30,999,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,1,1,3,3,1,3,3,2,,,2,38,2,1,4,013,00171,845
0360050,11,01,02,1,1,9,9,1,1,9,1,,,,,1,1,1,1,1,,1,1,1,1,3,,2,,,,,,2,,,,,,2,,,,,,2,2,2,1,2,2,,2,2,,,,,,1,,08,2,6,1,2,2,1,1,2,1,2,1,,1,0,0,0,0,0,0,02,00,120,01,00,2,2,1,,1,1,0,0,0,0,0,02,00,120,1,,00,15,100,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,1,3,2,2,,,1,3,3,2,,,2,54,2,1,4,013,00171,1285
0360050,12,01,01,1,1,9,1,1,9,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,2,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,1,1,3,2,,,2,,,2,60,1,1,4,013,00171,2181
0360050,13,01,02,1,1,9,1,1,1,9,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,39,2,1,4,013,00171,3382
0360050,14,01,02,1,1,9,9,1,1,9,1,,,,,1,1,1,1,1,,1,2,,,1,,2,,,,,,2,,,,,,2,,,,,,2,2,2,1,2,2,,2,2,,,,,,1,,08,1,,2,2,3,2,1,1,1,2,1,,1,0,0,0,1,1,0,01,30,120,01,00,1,2,1,,1,0,0,0,0,0,0,02,00,120,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,2,3,2,1,1,2,1,1,2,2,,,2,46,2,1,4,013,00171,1964
0360050,15,01,01,1,1,9,1,1,9,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,2,2,1,2,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,9,1,2,,,2,,,2,,,2,45,2,1,4,013,00171,1964
0360050,16,01,02,1,1,9,1,1,9,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,9,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,8,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,2,2,2,,,2,,,2,,,2,64,2,1,4,013,00171,677
0360050,17,01,02,1,1,9,1,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,4,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,8,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,66,2,1,4,013,00171,677
0360050,18,01,02,1,1,9,9,1,9,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,2,2,2,4,,,,,,,,,,,,,,,2,7,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,3,3,4,2,,,2,,,2,,,2,50,1,1,4,013,00171,647
0360050,19,01,02,1,1,9,1,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,1,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,61,2,1,4,013,00171,2709
0360050,20,01,01,1,1,9,1,1,9,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,5,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,3,3,2,1,1,2,2,,,1,1,2,2,51,1,1,4,013,00171,2587
0360122,01,01,01,1,1,9,9,1,9,9,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,1,2,2,2,2,2,8,,,,,,,,,,,,,,,2,8,,,,,,,,,,,1,,00,10,000,2,9,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,8,9,1,1,5,2,2,,,2,,,2,70,1,1,4,013,00172,1496
0360122,02,01,01,1,1,9,1,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,6,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,20,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,2,3,1,2,,,2,,,2,,,2,59,2,1,4,013,00172,661
0360122,03,01,02,1,1,9,1,1,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,6,,,,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,63,2,1,4,013,00172,1393
0360122,04,01,01,1,1,9,1,1,9,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,2,2,2,,,1,1,3,2,,,2,38,1,1,4,013,00172,1499
0360122,05,01,01,1,1,9,1,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,02,2,1,2,3,,1,1,2,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,05,020,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,1,2,,,1,1,3,2,,,2,33,2,1,4,013,00172,870
0360122,06,01,01,1,1,9,1,1,1,1,1,,,,,1,2,,,1,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,02,2,1,1,1,,2,1,2,2,2,1,,1,1,0,0,0,0,0,00,20,100,00,05,1,2,1,,1,0,0,0,0,0,0,00,10,050,1,,00,02,010,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,1,1,3,2,,,2,30,1,1,4,013,00172,1499
0360122,07,01,02,1,1,9,1,1,1,1,2,2,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,1,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,07,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,18,2,1,4,013,00172,1495
0360122,08,01,02,1,1,9,1,1,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,1,2,2,2,2,,,,,,,,,,,,,,,2,3,,,,,,,,,,,2,2,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,1,2,1,2,,,2,,,2,,,2,66,2,1,4,013,00172,1393
0360122,09,01,01,2,1,9,1,1,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,2,1,2,3,,1,1,1,2,2,1,,1,0,0,0,0,1,0,01,00,250,99,99,2,2,1,,1,0,0,0,0,0,0,00,45,025,2,1,,,,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,1,2,2,1,3,2,1,3,2,2,,,2,57,1,1,4,013,00172,1996
0360122,10,01,02,1,1,9,1,1,1,9,1,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,09,2,1,1,1,,1,2,2,1,2,2,1,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,20,200,1,,00,03,050,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,3,2,2,,,2,,,2,,,2,35,2,1,4,013,00172,1739
0360122,11,01,01,1,2,9,1,1,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,1,2,2,1,,1,1,0,0,0,0,0,00,40,999,00,45,2,2,1,,1,1,0,0,0,0,0,00,40,999,2,1,,,,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,2,3,1,1,1,3,1,2,3,2,,,2,60,1,1,4,013,00172,1496
0360122,13,01,01,1,1,9,1,1,1,9,1,,,,,1,1,1,1,3,,1,1,1,1,3,,2,,,,,,1,1,1,1,3,,2,,,,,,2,2,2,1,2,2,,2,1,1,1,1,2,2,1,,02,1,,1,1,,2,1,1,2,2,1,,1,1,0,0,1,0,0,00,20,050,00,10,1,2,1,,1,0,0,0,0,0,0,00,20,050,1,,00,02,000,1,1,1,1,1,1,0,0,1,1,3,5,2,,,2,,,2,,,1,3,3,3,1,1,1,2,1,1,2,1,1,2,2,50,1,1,4,013,00172,665
0360122,15,01,01,1,1,9,1,1,1,1,1,,,,,2,,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,99,,,,,,1,2,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,1,1,2,1,1,2,2,,,2,38,1,1,4,013,00172,1499
0360122,17,01,02,1,1,9,9,9,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,2,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,15,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,20,2,1,4,013,00172,2242
0360122,18,01,03,1,1,9,9,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,1,1,1,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,05,018,2,2,2,0,0,0,1,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,21,1,1,4,013,00172,4273
0360122,19,01,02,1,1,9,9,9,1,9,2,1,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,1,,,,,,,,,,,,2,5,,,,,,,1,2,1,1,2,2,8,,,,,,,,,,,,,,,2,5,,,,,,,,,,,2,2,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,3,2,1,1,5,3,2,,,2,,,2,35,2,1,4,013,00172,1739
0360122,20,01,01,1,1,9,9,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,99,,,,,,1,2,2,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,10,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,3,3,2,1,1,2,1,1,2,2,,,2,27,1,1,4,013,00172,1709
0400045,01,01,01,1,1,9,1,1,1,1,1,,,,,2,,,,,,2,,,,,,1,2,,,1,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,2,5,,,,,,,1,1,9,2,2,1,,1,0,0,0,0,0,0,00,20,050,00,15,1,2,1,,1,0,0,0,0,0,0,00,30,050,1,,00,30,050,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,2,2,3,2,1,3,2,1,1,2,2,,,2,57,2,6,1,021,00173,1457
0400045,02,01,03,1,1,9,1,1,1,1,1,,,,,1,2,,,1,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,09,2,1,1,1,,1,1,1,1,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,15,010,1,,00,05,000,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,1,1,1,2,2,,,2,,,2,,,2,28,1,6,1,021,00173,1921
0400045,02,02,01,1,1,9,1,1,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,2,6,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,3,2,2,,,2,,,2,,,2,49,1,6,1,021,00173,1677
0400045,03,01,06,2,3,9,9,3,3,1,1,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,2,1,,,,,,,2,1,1,2,2,1,,0,1,0,0,0,1,0,00,20,014,00,05,1,2,1,,0,0,0,1,1,0,0,00,30,014,2,3,,,,2,2,2,0,0,1,0,0,1,1,1,5,2,,,1,1,1,2,,,1,2,2,3,2,2,,,2,,,2,,,2,21,1,6,1,021,00173,2401
0400045,04,01,02,1,1,9,1,1,9,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,9,2,2,1,2,2,6,,,,,,,,,,,,,,,2,5,,,,,,,,,,,2,2,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,2,3,2,1,1,2,2,,,2,,,2,69,2,6,1,021,00173,943
0400045,05,01,02,1,1,9,1,1,1,1,1,,,,,1,2,,,1,,1,2,,,1,,1,2,,,1,,1,2,,,1,,2,,,,,,2,2,2,,,,,,,,,,,,1,,04,2,2,1,1,,2,1,2,1,2,1,,1,0,0,0,0,0,0,00,10,015,00,10,1,2,1,,1,0,0,1,0,0,0,00,10,000,1,,00,05,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,1,3,1,2,,,1,3,2,2,,,2,50,2,6,1,021,00173,2185
0400067,02,01,01,1,1,9,1,1,1,9,1,,,,,2,,,,,,2,,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,2,1,,,,,,,2,2,1,1,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,1,0,0,0,00,10,010,1,,00,15,050,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,9,1,1,3,2,1,5,2,1,2,3,1,5,1,2,24,1,6,1,021,00174,1055
0400067,05,01,02,1,1,9,1,1,1,1,1,,,,,2,,,,,,2,,,,,,1,1,1,1,1,,2,,,,,,2,,,,,,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,,07,2,2,1,3,,1,1,1,1,2,1,,1,0,0,0,0,0,0,00,15,050,00,15,2,1,1,,1,0,0,0,0,0,0,00,15,050,1,,00,05,020,1,2,2,0,1,0,0,0,1,1,3,1,2,,,2,,,2,,,1,1,1,1,4,1,3,2,1,1,2,2,,,2,47,2,6,1,021,00174,1985
0400096,01,01,03,1,1,9,9,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,01,1,,1,1,,1,1,1,1,9,1,,1,1,0,1,0,0,0,00,05,000,00,10,1,2,1,,1,1,0,0,0,0,0,00,10,000,2,1,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,3,1,1,1,2,,,2,,,2,,,2,24,1,6,1,020,00175,1891
0400096,02,01,01,1,1,9,1,1,9,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,1,2,1,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,30,016,2,1,,,,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,2,1,2,3,1,1,1,2,2,,,2,,,2,64,2,6,1,020,00175,619
0400096,03,01,01,1,1,9,1,1,9,1,1,,,,,1,2,,,1,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,01,2,1,1,2,1,9,1,2,9,2,1,,0,0,0,0,0,1,0,00,15,014,01,00,2,2,1,,1,0,0,0,0,0,0,00,15,014,2,1,,,,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,1,3,1,1,5,3,2,,,2,,,2,50,2,6,1,020,00175,956
0400096,04,01,01,1,1,9,1,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,2,1,1,1,,1,2,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,00,02,000,2,2,2,0,0,1,0,0,1,1,3,3,1,3,3,2,,,2,,,1,2,2,3,4,2,,,2,,,2,,,2,48,2,6,1,020,00175,3164
0400096,05,01,03,1,9,9,9,9,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,1,1,2,2,1,,0,1,0,0,0,0,0,00,05,000,00,05,1,2,2,1,,,,,,,,,,,2,1,,,,2,2,2,0,0,0,1,0,2,,,,,,,,,,,,,1,1,3,3,3,2,,,2,,,2,,,2,19,2,6,1,020,00175,2266
0400140,01,01,02,1,1,9,1,1,3,1,1,,,,,1,1,1,1,3,,1,1,1,1,1,,1,1,1,1,3,,1,1,1,1,3,,2,,,,,,2,2,2,1,2,2,2,2,2,,,,,,1,,08,2,2,1,1,,2,1,1,1,2,1,,1,1,0,0,0,0,0,00,05,010,00,30,1,2,1,,1,0,0,0,0,0,0,00,05,010,2,1,,,,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,1,3,2,2,,,2,34,2,6,1,020,00176,1870
0400140,02,01,03,1,1,9,9,9,9,1,1,,,,,2,,,,,,2,,,,,,1,1,1,1,1,,2,,,,,,2,,,,,,2,2,2,1,2,2,2,2,2,,,,,,1,,08,2,5,1,1,,1,1,2,2,2,1,,1,0,0,0,0,0,0,00,20,030,00,25,2,2,1,,1,0,0,0,0,0,0,00,25,030,2,1,,,,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,1,2,3,1,2,,,1,1,2,2,,,2,41,2,6,1,020,00176,2201
0400140,04,01,03,1,1,9,1,1,2,1,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,1,1,1,2,2,3,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,10,014,1,,00,10,014,2,2,2,1,1,0,0,0,2,,,,,,,,,,,,,9,3,3,3,2,2,,,2,,,2,,,2,37,1,6,1,020,00176,1629
0400140,05,01,02,1,2,1,1,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,01,2,2,2,3,,1,1,2,1,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,20,000,1,,00,20,000,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,2,2,2,2,,,2,,,2,,,2,27,2,6,1,020,00176,1402
0400173,01,01,03,1,1,9,1,2,1,1,1,,,,,1,1,1,1,1,,2,,,,,,1,2,,,2,6,2,,,,,,2,,,,,,2,2,2,2,1,2,,2,2,,,,,,1,,01,2,1,2,1,,2,1,1,2,2,1,,0,1,0,0,0,0,0,00,30,050,00,35,2,2,1,,1,0,0,1,0,0,0,00,05,000,1,,00,15,020,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,1,3,2,2,,,2,,,2,,,2,37,1,6,1,020,00177,1306
0400173,02,01,01,1,1,9,1,1,1,1,1,,,,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,01,2,5,1,1,,2,1,1,1,2,1,,1,0,0,0,0,0,0,00,30,014,00,20,1,2,2,3,,,,,,,,,,,1,,00,15,014,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,3,2,3,1,1,5,3,2,,,2,,,2,63,1,6,1,020,00177,2849
0400173,04,01,02,1,1,9,1,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,9,2,9,1,2,2,2,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,15,014,1,,00,04,000,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,9,,9,2,2,,,2,,,2,,,2,42,2,6,1,020,00177,1177
0400173,05,01,01,1,1,9,1,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,2,1,1,2,2,1,,1,0,0,0,0,0,0,00,20,040,00,10,1,2,1,,1,1,0,0,0,0,0,00,05,000,1,,00,05,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,1,3,2,1,1,3,1,1,3,2,,,2,64,1,6,1,020,00177,1900
0400186,01,01,01,1,1,1,1,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,3,,,,,,,,,,,,,,,2,4,,,,,,,,,,,1,,00,20,015,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,9,1,2,2,,,2,,,2,,,2,38,2,6,1,021,00178,2057
