UPM,VIV_SEL,HOGAR,N_REN,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6_1,P8_7_1,P8_8_1,P8_9_1,P8_10_1,P8_11_1,P8_6_2,P8_7_2,P8_8_2,P8_9_2,P8_10_2,P8_11_2,P8_6_3,P8_7_3,P8_8_3,P8_9_3,P8_10_3,P8_11_3,P8_6_4,P8_7_4,P8_8_4,P8_9_4,P8_10_4,P8_11_4,P8_6_5,P8_7_5,P8_8_5,P8_9_5,P8_10_5,P8_11_5,P8_6_6,P8_6_7,P8_6_8,P8_12_1,P8_12_2,P8_12_3,P8_12_4,P8_12_5,P8_13,P8_14_1,P8_14_2,P8_14_3,P8_14_4,P8_14_5,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5,P10_1,P10_2,P10_3_1,P10_3_2,P10_3_3,P10_3_4,P10_3_5,P10_3_6,P10_3_7,P10_4_1,P10_4_2,P10_5,P10_6_1,P10_6_2,P10_7_1,P10_7_2,P10_8,P10_9,P10_10_1,P10_10_2,P10_10_3,P10_10_4,P10_10_5,P10_10_6,P10_10_7,P10_11_1,P10_11_2,P10_12,P10_13,P10_14,P10_15_1,P10_15_2,P10_16,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P11_3,P11_4_1,P11_5_1,P11_6_1,P11_4_2,P11_5_2,P11_6_2,P11_4_3,P11_5_3,P11_6_3,P11_4_4,P11_5_4,P11_6_4,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_3_1,P13_4_1,P13_2_2,P13_3_2,P13_4_2,P13_2_3,P13_3_3,P13_4_3,P13_2_4,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER
0100320,02,01,04,1,1,9,9,1,1,9,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,05,2,1,1,1,,2,9,1,1,2,2,5,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,03,000,2,2,,,,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,2,2,3,2,1,3,2,1,1,2,2,,,2,42,1,3,1,004,00009,3270
0100320,03,01,03,1,1,1,9,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,1,2,2,2,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,1,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,3,3,2,2,,,1,1,3,2,,,2,59,1,3,1,004,00009,3360
0100320,04,01,01,1,1,9,1,1,1,9,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,2,1,2,2,2,2,3,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,05,000,1,,00,05,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,9,9,1,1,1,2,1,1,3,2,,,2,64,1,3,1,004,00009,4135
0100320,05,01,03,1,1,9,9,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,1,,1,1,,1,1,2,1,2,1,,1,0,0,0,0,0,0,00,05,000,00,10,1,2,1,,1,0,0,0,0,0,0,00,05,000,2,8,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,9,,3,2,2,,,2,,,2,,,2,30,2,3,1,004,00009,3030
0100340,01,01,01,1,2,9,1,1,1,9,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,02,1,,1,1,,2,1,1,2,2,1,,1,1,0,0,0,0,0,00,07,020,00,05,1,2,1,,1,1,0,0,0,0,0,00,07,020,1,,00,05,020,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,1,1,3,2,2,,,1,1,2,2,,,2,36,1,3,1,004,00010,2566
0100340,02,01,01,1,1,9,9,1,1,9,2,2,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,2,1,2,2,2,1,,1,0,0,0,0,0,0,00,05,000,00,01,1,2,1,,1,0,0,0,0,0,0,00,05,000,1,,00,01,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,1,3,3,1,3,2,1,1,2,2,,,2,70,1,3,1,004,00010,2139
0100340,03,01,02,1,1,9,9,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,2,1,1,2,2,2,3,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,05,000,2,8,,,,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,3,9,3,2,2,,,2,,,2,,,2,27,2,3,1,004,00010,2840
0100340,04,01,01,1,1,1,1,1,9,9,1,,,,,1,1,1,1,1,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,2,2,2,1,2,,2,2,,,,,,1,,02,2,1,2,3,,2,1,1,1,2,1,,1,0,0,0,0,1,0,00,10,020,00,10,1,1,1,,1,1,0,0,0,0,0,00,10,020,1,,00,05,010,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,1,3,2,2,,,1,2,2,2,,,1,27,1,3,1,004,00010,2212
0100340,05,01,04,1,1,9,9,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,05,2,2,1,1,,1,1,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,4,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,1,3,1,2,,,2,,,2,,,2,37,1,3,1,004,00010,2566
0100397,01,01,03,1,2,9,9,1,1,9,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,1,2,2,2,2,3,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,10,000,1,,00,10,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,32,2,3,1,003,00011,2685
