"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
5,1,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,63,5,748,6160850,14455,6,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
6,1,1,5,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,23,5,748,6160850,38546,4,8,2,4,1,1,2,3,2,1,1,2,2,2,2,1,
18,1,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,53,5,750,6160865,15335,1,6,2,1,2,2,2,3,2,2,1,2,2,1,2,1,
16,1,5,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,52,5,750,6160865,10224,5,2,1,2,2,2,1,3,1,2,1,2,2,2,2,1,
7,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,42,5,750,6160865,10224,3,3,2,1,1,2,2,3,2,2,1,2,2,2,2,1,
5,1,1,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,38,5,750,6160865,10224,3,3,2,2,2,2,2,3,2,1,1,2,2,2,2,1,
10,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,31,5,748,6160850,14455,2,3,2,2,1,2,2,1,2,1,1,2,2,2,2,1,
16,1,6,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,22,5,748,6160850,19273,3,3,2,4,1,2,2,3,2,2,1,2,1,2,2,1,
19,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,39,5,750,6160865,10224,3,6,1,2,1,2,1,3,2,2,1,2,2,2,2,1,
17,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,54,5,750,6160865,10224,3,3,2,1,2,2,2,3,2,2,1,2,2,1,2,1,
9,1,6,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,22,5,748,6160850,14455,4,8,1,3,1,2,2,3,2,2,1,2,2,2,2,1,
18,1,6,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,3,1,27,9,756,6161946,8342,3,6,1,1,1,2,2,3,2,1,1,2,2,2,2,1,
18,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,49,12,757,6220888,9170,3,3,2,1,2,2,2,3,2,2,1,2,2,1,2,1,
18,1,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,20,5,748,6160850,24091,3,3,2,4,1,2,2,3,2,1,1,2,2,2,2,1,
3,1,5,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,3,2,1,48,5,748,6160850,19273,2,6,2,1,1,2,1,3,1,1,2,2,2,1,2,1,
3,1,5,1,2,1,1,2,2,2,2,2,2,2,2,2,2,9,2,2,2,1,1,2,1,42,5,750,6160865,10224,6,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,
7,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,3,2,1,38,5,748,6160850,9637,3,6,2,1,1,2,2,3,2,1,2,2,1,2,1,1,
12,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,41,5,750,6160865,15335,3,3,2,1,1,2,2,3,2,1,1,2,2,2,2,1,
7,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,1,56,9,756,6161946,12513,6,2,1,2,1,2,2,3,2,1,1,1,2,1,2,1,
5,1,5,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,44,12,757,6220888,13755,3,6,2,1,2,2,2,3,2,2,1,1,2,1,1,1,
2,1,5,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,39,5,750,6160865,10224,3,3,2,1,1,1,2,3,2,1,2,2,2,2,2,1,
4,1,6,1,1,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,18,5,748,6160850,4818,2,6,1,3,1,2,2,2,2,2,2,2,2,2,2,1,
9,1,6,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,21,5,750,6160865,5112,3,6,2,1,1,2,2,2,1,2,2,2,2,2,2,1,
9,2,5,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,33,5,750,6160865,10224,3,3,2,1,1,2,2,3,2,1,1,2,2,2,2,1,
4,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,35,5,750,6160865,10224,3,3,2,1,1,2,1,3,2,2,1,2,2,2,2,1,
6,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,32,5,750,6160865,5112,3,3,2,1,1,2,2,2,2,2,1,2,2,1,2,1,
13,1,3,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,52,5,748,6160850,14455,3,3,2,1,2,2,2,2,2,2,1,2,2,1,1,1,
11,1,6,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,21,5,749,6160858,20857,2,8,1,4,1,2,1,2,1,1,2,2,2,2,2,1,
12,1,6,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,58,5,749,6160858,20857,3,4,2,1,2,1,2,2,2,2,2,2,2,1,2,1,
10,1,5,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,64,5,749,6160858,20857,3,3,1,1,2,2,2,3,2,2,2,2,2,1,2,1,
16,1,6,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,26,5,749,6160858,10429,3,3,2,2,1,2,2,1,2,1,1,2,2,2,2,1,
20,1,5,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,69,5,749,6160858,5214,3,3,1,2,2,1,2,2,2,2,1,2,2,1,2,1,
17,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,62,5,749,6160858,5214,6,2,2,1,2,2,2,3,2,2,2,2,2,1,2,1,
1,2,5,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,55,5,749,6160858,26071,2,9,2,3,1,2,2,2,2,2,1,2,2,2,2,1,
9,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,54,5,749,6160858,10429,6,2,2,1,2,2,2,3,2,2,1,2,2,2,2,1,
2,1,5,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,57,5,748,6160850,9637,3,3,1,2,1,1,2,3,2,2,2,2,1,2,2,1,
1,1,1,5,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,21,6,746,6160813,15800,3,6,1,2,1,2,2,1,2,1,1,2,2,2,2,1,
4,1,5,5,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,51,5,754,6161052,25011,3,6,2,5,2,2,2,3,2,2,2,2,2,2,2,1,
8,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,1,2,2,32,5,754,6161052,10004,3,6,1,2,1,2,2,2,2,2,1,2,2,2,2,1,
4,1,5,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,44,5,749,6160858,26071,3,3,2,1,1,2,2,3,2,1,2,2,2,2,2,1,
5,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,34,5,749,6160858,5214,3,6,1,1,1,2,2,1,2,1,2,2,2,2,2,1,
14,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,70,5,749,6160858,5214,3,3,1,1,1,1,2,3,2,2,1,1,1,1,1,1,
18,1,5,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,65,5,749,6160858,15643,3,3,1,2,2,2,2,2,2,2,1,2,2,1,2,1,
13,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,28,5,754,6161052,30013,3,6,1,3,1,2,2,3,2,1,1,2,2,2,2,1,
7,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,42,5,749,6160858,10429,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,
13,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,31,5,749,6160858,5214,3,3,2,1,1,2,2,3,2,1,1,2,2,2,2,1,
18,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,30,5,754,6161052,10004,3,6,1,2,1,2,2,3,2,2,2,2,2,1,2,1,
14,1,5,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,39,5,754,6161052,10004,3,7,1,2,1,2,2,3,2,1,2,2,2,2,2,1,
16,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,45,5,754,6161052,10004,6,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,
11,1,4,8,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,40,5,754,6161052,5002,6,2,2,1,1,1,1,3,2,2,2,2,2,2,1,1,
1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,31,5,754,6161052,5002,3,6,1,1,1,2,1,1,2,2,2,2,2,2,2,1,
6,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,24,5,754,6161052,10004,3,6,2,2,2,2,2,3,2,1,2,1,1,2,2,1,
9,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,65,5,754,6161052,15007,3,6,1,1,2,1,2,3,2,1,2,1,2,2,2,1,
2,1,5,5,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,51,5,754,6161052,5002,6,2,2,1,2,2,2,3,2,1,1,2,1,1,2,1,
2,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,26,6,745,6160720,9790,2,4,1,1,1,2,2,2,1,1,2,2,1,2,2,1,
20,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,55,5,754,6161052,10004,6,2,2,1,1,1,2,3,2,2,1,2,2,2,2,1,
15,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,29,5,754,6161052,10004,3,6,1,1,1,2,2,3,2,1,1,2,2,2,2,1,
17,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,26,5,748,6160850,24091,3,3,1,3,1,2,2,3,2,1,1,2,2,2,2,1,
8,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,32,5,750,6160865,5112,3,3,2,1,1,2,2,3,1,1,2,2,2,2,2,1,
15,1,6,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,34,5,750,6160865,25559,3,3,1,5,1,2,2,3,2,2,1,2,2,2,2,1,
20,1,3,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,24,5,748,6160850,14455,3,6,1,3,1,2,1,2,1,1,1,2,2,2,2,1,
4,1,5,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,40,5,753,6161044,8724,3,3,2,2,1,2,2,3,2,1,1,1,2,2,2,1,
6,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,56,5,753,6161044,8724,5,8,1,1,1,1,2,2,2,2,2,2,1,1,2,1,
2,1,5,5,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,61,5,752,6161043,27432,3,2,2,2,2,2,2,3,2,2,1,2,1,1,2,1,
10,1,5,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,56,5,753,6161044,13086,3,6,2,2,1,1,2,3,2,2,2,2,2,1,2,1,
1,1,5,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,69,5,753,6161044,13086,6,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
5,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,70,5,753,6161044,8724,4,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
7,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,62,5,752,6161043,22860,5,8,1,1,1,2,2,3,2,2,2,2,1,1,2,1,
8,1,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,21,5,752,6161043,18288,2,6,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
8,1,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,47,5,753,6161044,8724,5,8,1,1,1,2,1,1,1,2,1,2,2,1,2,1,
17,1,3,5,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,59,5,753,6161044,8724,2,3,2,1,1,2,2,3,2,1,2,2,2,2,2,1,
10,1,4,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,40,5,752,6161043,18288,3,3,1,4,2,2,2,3,2,2,2,2,2,2,2,1,
4,1,6,5,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,48,5,752,6161043,4572,3,3,2,1,1,2,2,3,2,1,1,2,2,1,2,1,
13,1,5,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,34,5,752,6161043,9144,3,3,1,1,1,2,2,3,2,2,2,2,2,1,2,1,
14,1,6,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,56,5,753,6161044,8724,3,6,2,2,1,1,2,3,1,2,2,2,1,2,2,1,
14,2,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,40,5,753,6161044,4362,5,8,1,1,2,2,1,2,2,1,1,2,2,2,1,1,
14,3,5,3,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,52,5,753,6161044,8724,6,9,1,1,1,1,1,2,2,2,2,2,1,2,2,1,
16,1,4,5,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,50,5,753,6161044,8724,6,2,1,1,2,2,2,3,2,1,2,1,1,1,2,1,
16,1,5,5,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,32,5,752,6161043,9144,3,3,2,2,1,2,2,3,1,1,2,2,2,2,2,1,
11,1,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,26,5,753,6161044,4362,5,8,1,1,1,2,1,2,1,1,2,2,1,2,2,1,
12,1,6,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,43,5,752,6161043,4572,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,1,
5,1,5,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,40,5,754,6161052,10004,2,8,1,1,1,2,2,2,1,2,2,2,1,1,2,1,
15,1,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,70,5,752,6161043,4572,0,0,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
19,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,32,5,753,6161044,17448,3,6,2,3,1,2,2,2,2,2,1,2,1,2,2,1,
18,1,5,5,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,43,5,753,6161044,13086,3,3,1,2,1,2,2,1,2,2,2,2,1,2,2,1,
13,1,6,5,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,30,5,753,6161044,13086,3,6,1,3,1,2,2,3,2,2,2,2,2,2,2,1,
14,1,6,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,27,5,752,6161043,18288,3,3,2,6,1,2,2,3,2,2,1,2,2,2,2,1,
2,1,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,56,6,751,6160924,34308,3,6,1,2,1,2,2,3,1,1,2,2,1,1,2,1,
4,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,3,1,38,9,756,6161946,8342,5,8,1,1,1,2,2,3,1,2,1,2,2,1,2,1,
17,1,5,5,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,3,2,38,9,756,6161946,4171,3,3,2,2,1,2,1,2,1,1,2,2,2,1,2,1,
19,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,30,5,752,6161043,27432,3,6,2,7,1,2,2,3,2,2,1,2,2,2,2,1,
18,1,6,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,38,5,752,6161043,13716,3,6,2,3,2,2,2,3,2,2,1,2,2,2,2,1,
17,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,40,5,752,6161043,22860,3,3,1,3,1,1,1,2,1,2,2,2,1,2,2,1,
16,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,25,9,755,6161808,8724,2,3,2,1,2,2,2,3,2,2,1,2,2,1,2,1,
15,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,1,42,9,755,6161808,8724,3,3,2,1,2,2,2,3,2,2,2,2,2,2,2,1,
10,1,6,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,60,9,755,6161808,4362,0,0,2,1,2,2,2,3,2,2,1,2,2,1,2,1,
8,1,5,5,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,40,9,755,6161808,8724,6,2,2,2,2,2,2,3,1,1,1,2,2,1,2,1,
3,1,5,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,3,3,1,30,9,755,6161808,8724,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,1,
18,1,5,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,23,9,755,6161808,13086,3,3,2,2,1,2,2,3,2,2,1,2,2,2,2,1,
9,1,5,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,3,1,69,9,755,6161808,8724,3,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,
11,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,44,5,748,6160850,9637,3,6,1,1,1,1,2,1,2,2,2,2,2,2,2,1,
15,1,5,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,41,5,753,6161044,13086,3,7,1,2,1,2,1,2,2,1,2,2,1,1,2,1,
14,1,6,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,26,9,755,6161808,13086,3,3,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
6,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,67,9,755,6161808,8724,1,2,1,1,2,2,2,3,2,1,1,1,2,1,2,1,
1,1,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,1,48,9,755,6161808,8724,3,2,2,1,1,2,2,3,2,2,1,2,2,1,2,1,
19,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,3,2,40,9,755,6161808,17448,5,8,1,3,1,1,1,2,2,2,1,2,1,2,2,1,
19,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,49,5,748,6160850,4818,3,6,2,1,1,2,2,3,2,2,1,2,1,1,2,1,
15,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,28,5,748,6160850,9637,3,3,2,2,1,2,2,3,2,1,1,2,2,2,2,1,
13,1,5,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,23,9,755,6161808,17448,3,6,1,4,1,2,2,3,2,1,1,1,2,2,2,1,
5,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,3,1,26,9,755,6161808,8724,3,6,2,1,1,2,2,1,1,1,1,2,2,2,2,1,
2,1,5,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,3,1,38,9,755,6161808,8724,6,2,2,2,1,2,2,3,2,2,1,2,2,2,2,1,
20,1,5,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,3,1,43,9,755,6161808,21810,3,6,1,1,1,1,2,2,2,1,2,2,2,1,2,1,
12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,1,30,9,755,6161808,8724,3,3,2,1,1,2,2,3,2,2,1,2,2,2,2,1,
6,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,52,5,752,6161043,27432,5,8,1,1,1,2,2,3,2,1,1,2,1,1,2,1,
11,1,5,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,22,9,755,6161808,8724,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2,1,
20,1,5,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,45,5,752,6161043,13716,3,3,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
3,1,3,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,62,5,749,6160858,5214,6,2,1,1,1,2,2,3,2,2,1,1,1,1,2,1,
12,1,5,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,3,2,1,44,5,753,6161044,8724,3,3,2,1,1,2,1,2,1,2,1,2,1,2,2,1,
4,1,1,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,31,9,755,6161808,8724,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
7,1,5,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,49,9,755,6161808,8724,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,
7,2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,19,5,754,6161052,10004,3,3,2,2,1,2,2,3,2,2,1,2,2,2,2,1,
16,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,64,12,757,6220888,13755,3,2,2,4,2,2,2,3,2,2,1,1,2,1,2,1,
3,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,66,3,760,6262354,11040,4,8,2,2,2,1,2,3,2,2,1,2,1,2,1,1,
3,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,48,9,771,6268859,4603,6,2,2,2,1,2,2,3,2,2,1,2,2,1,2,1,
2,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,39,3,760,6262354,27601,3,3,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
4,1,6,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,63,3,760,6262354,16561,1,6,1,1,2,1,2,3,2,2,2,2,2,1,2,1,
6,1,1,5,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,4,2,31,11,774,6321541,9944,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,1,
1,1,1,5,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,4,2,54,11,774,6321541,9944,3,2,2,2,1,2,2,3,2,1,2,2,2,1,2,1,
4,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,24,11,774,6321541,9944,1,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,
1,1,5,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,1,64,9,771,6268859,32222,6,2,1,1,1,2,2,3,2,2,1,2,1,1,2,1,
4,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,41,2,761,6263281,5740,1,8,2,1,1,2,2,3,2,2,2,2,2,2,2,1,
1,1,5,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,43,2,761,6263281,11480,6,8,1,2,1,2,2,1,1,2,1,1,2,2,2,1,
3,1,6,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,19,2,761,6263281,22960,3,6,2,4,1,1,2,3,2,1,2,2,2,2,2,1,
2,1,6,1,1,1,2,2,1,2,2,2,2,1,2,2,2,9,1,1,2,2,1,1,2,37,2,761,6263281,17220,3,6,2,3,1,1,2,2,2,2,2,2,2,2,2,1,
13,1,6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,3,2,38,9,771,6268859,4603,4,8,1,2,1,1,1,3,1,2,2,1,1,2,2,1,
9,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,3,1,68,9,771,6268859,23016,1,2,2,1,2,2,2,3,2,2,2,1,2,1,2,1,
10,1,6,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,3,1,22,9,771,6268859,13810,1,8,1,3,1,1,1,3,1,2,1,2,2,2,2,1,
8,1,1,5,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,26,11,774,6321541,9944,6,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
12,1,1,5,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,4,2,24,11,774,6321541,9944,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,1,
13,1,5,8,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,4,1,61,11,774,6321541,19888,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,
7,1,2,8,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,2,43,11,774,6321541,9944,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,
10,1,5,5,1,2,2,2,1,2,2,1,2,2,2,2,2,9,1,2,2,2,1,4,2,30,11,774,6321541,9944,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,
