"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
5,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,28,2,1,3360780,11424,3,3,2,1,1,2,2,1,1,1,2,2,2,2,2,1,
4,1,4,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,65,2,22,3362545,12064,0,0,1,1,1,2,1,2,1,1,1,2,2,2,2,1,
3,1,5,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,69,4,21,3362430,13932,6,2,1,1,1,2,2,3,2,2,2,2,1,1,2,1,
5,1,5,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,61,3,15,3361774,9595,3,3,1,1,1,1,2,3,2,2,2,2,2,2,2,1,
4,1,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,30,3,11,3361553,11899,3,3,1,1,2,2,2,3,2,2,2,2,2,2,2,1,
3,1,3,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,55,2,8,3361430,18804,6,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,
1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,56,2,8,3361430,12536,6,2,1,1,1,2,2,3,1,1,2,2,2,2,2,1,
5,1,6,5,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,18,2,18,3362202,15639,5,2,2,4,1,2,2,3,2,1,1,2,2,2,2,1,
1,1,6,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,21,4,7,3361382,19166,3,6,2,3,1,1,2,3,2,2,1,2,2,2,2,1,
2,1,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,51,4,17,3362005,17116,3,8,1,1,1,2,1,1,1,1,2,2,1,2,2,1,
