"FOLIO","VIV_SEL","HOGAR","N_REN","P3_1_1","P3_1_2","P3_2","P3_3","P3_4","P3_5","P3_11","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_3","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_8_5","P4_8_6","P4_9_1","P4_9_2","P4_9_3","P4_9_4","P4_10","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_4_1","P5_4_2","P5_4_3","P5_4_4","P5_4_5","P5_4_6","P5_4_7","P5_4_8","P5_4_9","P5_23","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_17","P7_1_1","P7_1_2","P7_2","P7_4","P7_5","P7_7_1","P7_8_1_1","P7_8_1_2","P7_8_1_3","P7_7_2","P7_8_2_1","P7_8_2_2","P7_8_2_3","P7_7_3","P7_7_4","P8_1","P8_2","P8_3","P9_1","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P10_1","P10_4","P10_7","P11_1_1","P11_1_2","P11_1_3","P11_1_4","P11_1_5","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_3_1","P11_3_2","P11_3_3","P11_3_4","P11_3_9","P12_1","P13_1","P13_2","P13_3","P13_4","P14_1","P14_2_1","P14_2_2","P14_2_3","P14_2_4","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_ELE","P1_1","P1_2"
3342,1,1,3,8,3,4,2,2,8,1,2,2,2,2,2,2,1,2,8,8,8,8,3,8,1,9,1,2,2,8,1,1,3,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,9,2,2,2,2,,,,2,,,,2,2,1,,,2,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,1,2,1,9,9,9,3,2,2,2,2,1,4,1,88,55,537,14512,4,1
3343,3,1,1,2,6,5,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,1,2,1,2,2,1,2,,,,1,2,1,,,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,1,2,2,1,4,1,57,55,537,10884,4,1
3344,5,1,3,7,3,5,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,3,3,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,1,1,2,1,2,2,1,1,2,1,2,1,2,1,,,1,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,2,2,1,2,2,1,4,2,64,55,537,10643,3,1
3345,1,1,1,8,4,1,2,2,1,1,2,2,2,2,2,2,1,2,3,1,1,2,3,2,1,1,1,3,1,3,1,1,1,2,1,2,1,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,1,1,2,2,,,,1,1,1,1,1,1,1,,,1,9,1,1,2,1,2,2,1,2,1,1,9,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,2,2,2,2,2,1,4,1,37,55,538,6754,2,1
3346,2,1,1,4,3,5,2,2,8,2,2,2,2,2,2,2,1,2,1,1,2,3,3,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,9,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,1,9,9,9,2,1,1,2,2,1,4,2,78,55,538,6604,2,1
3347,3,1,2,8,5,5,2,2,5,1,1,2,2,2,2,2,1,1,1,1,3,3,3,2,1,2,1,3,3,1,1,1,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,4,4,1,1,2,1,2,2,1,1,2,1,2,1,2,1,,,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,2,2,2,2,1,4,2,60,55,538,9906,3,1
3348,5,1,3,8,4,6,2,2,1,1,1,1,1,2,2,2,1,2,1,1,3,1,3,1,1,1,1,3,2,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,7,4,2,1,2,1,2,2,1,1,2,1,2,2,1,1,,,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,3,1,2,2,2,2,1,4,1,24,55,538,10131,3,1
3349,1,1,2,3,3,6,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,9,1,2,2,2,2,2,2,2,1,2,1,1,9,1,3,1,2,2,2,2,1,4,2,46,53,539,6356,2,1
3350,2,1,1,2,6,5,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,3,2,2,1,2,2,1,4,1,48,53,539,6500,2,1
3351,3,1,2,3,3,5,1,2,5,1,2,2,2,2,2,2,1,2,3,1,2,2,1,2,1,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,2,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,1,4,2,61,53,539,9534,3,1
3352,4,1,1,3,3,6,2,2,6,1,2,2,2,2,2,2,1,2,3,1,2,3,3,1,2,2,2,2,1,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,2,,,,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,9,9,9,1,2,2,2,2,1,4,1,67,53,539,3250,1,1
3353,5,1,1,3,3,4,2,2,1,1,2,2,2,2,2,2,2,2,1,3,3,3,1,3,1,2,2,1,1,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,3,1,2,2,2,2,1,4,1,65,53,539,3250,1,1
3354,1,1,1,8,5,6,2,2,1,1,1,1,1,1,1,2,2,2,1,1,3,3,1,3,1,1,1,3,2,1,1,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,7,7,1,1,2,1,2,2,1,1,2,2,1,1,1,1,,,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,3,1,1,1,2,2,1,4,2,61,54,540,2966,1,1
3355,2,1,1,8,4,5,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,3,2,1,2,2,2,2,1,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,1,1,2,1,2,2,1,1,2,1,1,1,2,1,,,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,3,2,1,1,2,2,1,4,1,40,54,540,9101,4,1
3356,3,1,1,6,3,6,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,3,2,1,1,2,1,1,2,3,3,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,9,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,3,2,2,2,2,2,1,4,2,31,54,540,2966,2,1
3357,4,1,2,3,3,5,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,3,3,3,3,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,9,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,3,3,3,2,2,2,2,2,1,4,2,39,54,540,8899,4,1
3358,5,1,1,2,1,2,2,1,8,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,2,2,2,1,3,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,2,,,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,1,1,2,2,2,1,4,2,81,54,540,2966,1,1
3359,2,1,4,8,5,6,2,2,1,1,2,2,2,2,2,2,1,2,1,1,3,3,1,2,1,1,1,3,2,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,2,,,,2,,,,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,3,1,2,2,2,2,1,4,2,25,55,541,14228,5,1
3360,3,1,4,2,6,6,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,2,1,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,3,2,1,2,2,,,,1,2,1,2,2,2,1,,,2,2,2,2,2,1,9,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,2,1,1,2,2,1,4,2,48,55,541,11382,4,1
3361,5,1,1,8,5,5,2,2,1,1,1,2,2,2,1,1,1,2,1,1,3,3,3,2,1,1,1,3,2,1,1,1,2,1,1,1,2,5,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,1,1,2,2,,,,2,,,,1,2,1,,,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,2,1,1,2,2,1,4,1,53,55,541,8730,4,1
3362,1,1,1,8,5,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,3,3,1,3,3,3,2,1,1,2,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,1,,,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,3,2,2,1,2,2,1,4,2,48,54,542,15895,6,1
3363,3,1,3,8,3,6,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,3,3,1,2,1,3,2,3,1,3,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,3,1,2,2,2,2,1,4,2,25,54,542,9537,5,1
3364,4,1,1,8,4,6,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,3,2,1,2,1,2,1,2,2,1,1,2,1,2,1,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,3,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,3,1,2,2,2,2,1,4,1,45,54,542,3251,1,1
3365,5,1,1,8,4,6,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,3,2,1,2,2,2,5,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,,,1,2,1,9,2,1,2,2,1,2,1,1,1,9,9,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,1,2,2,2,1,4,2,56,54,542,3179,1,1
3366,1,1,3,9,3,6,2,2,1,1,1,2,2,2,1,1,1,1,1,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,2,1,5,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,7,3,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,9,9,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,3,1,2,1,1,2,1,4,1,49,54,543,12235,7,2
3366,1,2,1,8,3,6,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,3,3,2,9,1,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,3,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,9,1,2,2,9,2,1,9,1,2,2,2,2,2,2,2,2,1,1,1,2,9,3,2,2,1,2,2,1,4,2,80,54,543,5982,7,2
3367,2,1,2,6,3,4,2,2,1,1,2,2,2,2,2,2,1,2,1,2,3,1,2,3,1,2,1,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,3,2,2,2,2,2,1,4,2,46,54,543,14955,6,1
3368,3,1,2,8,4,5,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,3,1,3,1,3,3,2,1,2,2,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,1,,,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,2,2,2,2,1,4,2,40,54,543,5982,3,1
3369,4,1,2,6,3,5,2,2,1,1,1,2,1,1,2,2,2,2,2,1,3,1,3,2,1,2,1,3,2,1,1,1,1,1,2,1,2,3,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,7,1,1,2,1,2,2,1,1,2,2,1,1,2,1,,,1,2,1,1,2,1,9,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,3,1,2,2,1,1,2,2,1,4,1,30,54,543,6117,4,1
3370,5,1,1,3,3,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,3,1,2,2,1,1,1,3,2,3,2,2,2,1,2,1,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,7,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,1,4,1,29,54,543,6117,2,1
3371,5,1,3,8,1,6,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,3,3,2,1,2,2,2,1,2,2,4,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,1,1,2,1,2,2,1,1,2,1,2,1,1,1,,,1,2,1,1,2,1,9,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,3,2,2,2,2,2,1,4,2,30,55,544,8555,8,1
3372,1,1,2,8,4,5,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,3,2,2,1,1,1,3,3,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,1,2,1,2,2,1,1,2,2,1,1,1,1,,,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,2,2,2,2,2,2,1,4,2,38,54,545,6135,4,1
3373,2,1,2,6,3,6,2,1,8,1,2,2,2,2,2,2,1,2,2,2,2,3,3,3,9,9,1,2,1,3,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,9,1,2,2,1,2,2,1,2,,,,2,1,2,2,2,2,1,2,9,1,9,9,2,1,2,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,1,9,9,9,3,2,2,2,2,1,4,1,19,54,545,6274,2,1
3374,4,1,1,6,3,5,2,2,1,1,2,2,2,2,2,2,2,2,1,3,3,3,1,3,1,1,1,1,1,1,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,1,1,2,2,1,1,2,2,1,1,1,2,2,9,1,1,1,1,1,1,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,4,1,43,54,545,9411,5,1
3375,5,1,2,6,3,6,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,3,1,1,1,2,3,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2,2,1,2,,,,2,2,2,2,2,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,1,4,2,23,54,545,6135,2,1
3376,1,1,4,8,3,6,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,3,2,3,2,2,1,1,2,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,7,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,9,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,1,4,2,22,53,546,11603,4,1
3377,2,1,2,8,4,6,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,3,3,1,1,1,3,1,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,2,1,2,2,1,1,2,1,2,1,1,1,,,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,3,3,2,2,1,2,2,1,4,2,57,53,546,17404,6,1
3378,3,1,1,8,4,4,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,8,2,2,3,3,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,1,2,2,1,1,1,9,9,,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,56,53,546,2901,1,1
3379,4,1,3,6,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,1,1,1,2,1,3,1,3,3,2,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,1,4,2,22,53,546,8702,4,1
3380,5,1,2,8,4,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2,2,1,2,,,,2,2,2,2,9,2,1,2,2,2,1,2,2,2,2,2,2,2,9,9,2,2,2,2,2,2,2,2,1,2,2,2,2,9,2,2,2,2,2,1,4,2,37,53,546,5801,4,1
3381,1,1,6,6,2,6,2,1,8,1,1,2,2,2,2,2,2,2,3,3,1,2,2,3,8,8,8,1,1,3,3,3,3,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,9,1,2,2,1,2,2,1,2,,,,2,2,2,9,,2,1,2,2,2,2,9,2,1,2,2,2,9,9,9,2,2,2,2,2,2,2,2,1,2,1,9,9,9,3,2,2,2,2,1,4,1,19,54,547,16570,6,1
3382,2,1,2,6,3,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,3,3,1,1,2,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,1,2,2,,,,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,2,2,3,1,2,2,2,2,1,4,1,42,54,547,16570,6,1
3383,3,1,1,8,4,5,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,3,1,3,3,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,9,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,9,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,4,1,25,54,547,5523,3,1
3384,4,1,2,8,2,5,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,3,3,3,8,8,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,2,,,,2,,,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,4,2,38,54,547,5401,4,1
3385,5,1,1,3,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,1,2,3,1,1,1,3,3,2,3,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2,1,1,1,2,1,1,2,2,2,2,9,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,4,1,54,54,547,5523,4,1
3386,1,1,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,3,2,3,3,1,1,9,1,1,3,3,3,3,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,9,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,1,1,9,9,8,3,2,2,2,2,2,1,4,1,27,53,548,6106,2,1
3387,2,1,8,0,0,5,2,1,8,2,2,2,2,2,2,2,2,2,9,8,9,9,9,3,9,9,9,1,1,9,3,3,3,2,2,2,2,9,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,9,2,2,2,1,2,2,1,2,,,,2,2,9,9,,2,1,2,2,1,2,2,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2,2,1,1,9,9,9,9,2,2,2,2,2,1,4,2,76,53,548,11941,7,1
3388,3,1,2,2,6,5,2,2,8,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,1,1,1,1,1,1,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,1,4,2,37,53,548,5970,4,1
3389,4,1,1,3,3,6,2,2,1,1,2,2,2,2,2,2,2,2,3,8,3,2,3,3,1,1,1,2,8,2,3,3,3,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,9,9,2,2,1,2,2,2,2,,,,2,2,2,9,,9,1,2,2,2,1,2,2,2,2,2,9,9,9,9,2,2,2,1,2,2,2,2,1,1,1,2,9,9,1,2,2,2,2,1,4,1,45,53,548,3053,1,1
3390,5,1,1,3,3,5,2,2,1,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,1,1,2,2,3,1,3,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,2,,,,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,3,3,3,2,2,2,2,2,1,4,1,57,53,548,12211,4,1
