"FOLIO","VIV_SEL","HOGAR","N_REN","P3_1_1","P3_1_2","P3_2","P3_3","P3_4","P3_5","P3_11","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_3","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_8_5","P4_8_6","P4_9_1","P4_9_2","P4_9_3","P4_9_4","P4_10","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_4_1","P5_4_2","P5_4_3","P5_4_4","P5_4_5","P5_4_6","P5_4_7","P5_4_8","P5_4_9","P5_23","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_17","P7_1_1","P7_1_2","P7_2","P7_4","P7_5","P7_7_1","P7_8_1_1","P7_8_1_2","P7_8_1_3","P7_7_2","P7_8_2_1","P7_8_2_2","P7_8_2_3","P7_7_3","P7_7_4","P8_1","P8_2","P8_3","P9_1","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P10_1","P10_4","P10_7","P11_1_1","P11_1_2","P11_1_3","P11_1_4","P11_1_5","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_3_1","P11_3_2","P11_3_3","P11_3_4","P11_3_9","P12_1","P13_1","P13_2","P13_3","P13_4","P14_1","P14_2_1","P14_2_2","P14_2_3","P14_2_4","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_ELE","P1_1","P1_2"
25,2,1,2,8,5,5,2,2,5,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,4,2,2,2,1,2,1,1,1,2,1,2,2,1,1,,,2,2,2,1,1,2,2,1,1,1,1,1,1,1,9,1,2,2,2,2,2,1,2,2,1,1,1,1,3,2,1,1,2,2,1,3,2,57,5,6,2847,2,1
26,3,1,1,9,3,3,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,3,1,1,1,1,3,2,2,1,1,1,2,1,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,4,2,1,2,1,2,2,1,1,2,1,1,2,2,1,,,1,2,1,1,2,1,2,1,1,1,2,2,9,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,3,1,1,1,2,2,1,3,2,63,5,6,2847,2,1
27,5,1,5,8,5,5,2,2,5,1,1,1,1,1,1,2,1,1,1,1,3,1,2,2,1,1,1,3,2,1,2,2,1,1,1,1,1,5,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,1,1,2,1,2,2,1,1,2,1,1,1,2,1,,,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,3,2,1,2,2,2,1,3,2,50,5,6,4271,5,1
28,1,1,2,3,2,5,2,2,5,1,2,2,2,2,2,2,2,2,1,2,3,1,2,3,1,1,2,3,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2,2,2,1,3,2,60,4,7,2324,2,1
29,2,1,1,6,3,5,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,3,3,3,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,1,2,1,2,2,1,1,2,1,1,1,2,1,,,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,1,1,2,2,1,3,1,41,4,7,2173,5,1
30,3,1,1,2,6,5,2,2,6,1,2,2,2,2,2,2,2,2,1,1,3,1,2,1,1,1,1,3,1,3,3,2,1,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,1,2,2,2,1,3,1,65,4,7,3260,3,1
31,4,1,2,6,3,6,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,3,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,2,1,1,1,2,1,2,1,1,1,,,1,2,2,2,2,1,2,2,1,2,2,1,1,2,9,2,2,2,2,1,2,2,2,2,2,1,2,1,3,2,1,1,2,2,1,3,1,34,4,7,2173,2,1
32,5,1,2,6,3,5,2,2,1,1,1,2,1,1,2,2,2,2,1,2,3,1,1,3,1,1,2,3,2,1,3,8,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,3,3,1,2,2,2,2,1,3,2,38,4,7,4648,6,1
33,1,1,1,2,6,4,2,2,1,2,2,2,1,2,2,2,1,2,2,2,3,2,1,3,1,2,1,1,1,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,2,,,,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,9,9,3,1,1,2,2,2,1,3,2,63,4,8,1445,1,1
34,2,1,1,8,5,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,4,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,7,3,1,1,1,1,2,2,1,1,2,1,2,1,1,1,,,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,9,2,3,2,1,1,2,2,1,3,2,35,4,8,4334,4,1
35,4,1,1,3,3,5,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,3,3,2,1,1,1,1,2,3,3,2,3,1,1,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,3,2,3,2,1,2,2,2,1,3,1,67,4,8,5403,5,1
36,5,1,1,3,3,5,2,2,1,1,1,1,1,1,2,1,1,2,1,1,3,1,3,1,1,1,2,3,3,1,2,1,3,1,2,2,2,5,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,7,7,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,3,2,1,1,1,2,1,3,1,34,4,8,2701,4,1
37,1,1,2,3,3,5,2,2,5,1,1,1,1,1,2,1,2,2,1,1,3,1,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,1,2,1,2,1,,,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,3,2,27,4,9,2724,4,1
38,2,1,1,8,1,5,2,1,8,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,1,1,1,1,3,1,3,1,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,7,7,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,2,2,2,1,3,1,73,4,9,6368,5,1
39,3,1,1,0,0,4,2,1,5,2,2,2,1,2,2,2,2,2,2,1,2,3,3,3,1,1,1,2,1,1,3,2,1,2,2,2,2,5,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,3,1,3,1,1,2,2,2,1,3,2,75,4,9,1362,1,1
40,1,1,1,2,6,3,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,3,1,1,2,3,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,3,1,1,2,2,2,1,3,2,57,4,10,2788,2,1
41,2,1,1,3,3,5,2,1,6,2,2,2,2,2,2,2,1,2,1,1,2,2,3,2,1,1,2,3,3,1,3,1,1,2,1,2,2,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,3,2,1,1,1,2,1,3,1,70,4,10,2607,2,1
42,3,1,2,3,3,6,2,2,5,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,1,1,3,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,2,,,,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,2,2,2,2,1,3,2,22,4,10,2788,3,1
