"LLAVESDE","LLAVEVIV","LLAVEHOG","PAREN","SEXO","EDAD","FOLIO","VIV_SEL","HOGAR","N_REN","TLOC","REGION","EST_DIS","UPM_DIS","FAC_HOG"
101101,101,1011,1,1,38,1,1,1,1,1,1,17,196,633
101102,101,1011,2,2,35,1,1,1,2,1,1,17,196,633
101103,101,1011,3,2,10,1,1,1,3,1,1,17,196,633
210101,210,2101,1,1,36,2,10,1,1,3,6,179,2088,1811
303101,303,3031,1,2,50,3,3,1,1,1,4,50,763,485
303102,303,3031,3,1,20,3,3,1,2,1,4,50,763,485
401101,401,4011,1,1,59,4,1,1,1,1,1,17,182,739
503101,503,5031,1,2,37,5,3,1,1,1,4,49,631,3756
503102,503,5031,3,2,19,5,3,1,2,1,4,49,631,3756
503103,503,5031,3,1,17,5,3,1,3,1,4,49,631,3756
503104,503,5031,3,2,15,5,3,1,4,1,4,49,631,3756
603101,603,6031,1,1,58,6,3,1,1,1,6,40,459,4568
603102,603,6031,2,2,53,6,3,1,2,1,6,40,459,4568
603103,603,6031,3,1,25,6,3,1,3,1,6,40,459,4568
603104,603,6031,3,1,23,6,3,1,4,1,6,40,459,4568
704101,704,7041,1,1,40,7,4,1,1,4,6,111,1380,3726
704102,704,7041,2,2,36,7,4,1,2,4,6,111,1380,3726
704103,704,7041,3,2,14,7,4,1,3,4,6,111,1380,3726
704104,704,7041,3,1,11,7,4,1,4,4,6,111,1380,3726
704105,704,7041,3,2,4,7,4,1,5,4,6,111,1380,3726
704106,704,7041,3,2,1,7,4,1,6,4,6,111,1380,3726
803101,803,8031,1,1,22,8,3,1,1,2,2,135,1585,1797
803102,803,8031,2,2,24,8,3,1,2,2,2,135,1585,1797
803103,803,8031,3,2,1,8,3,1,3,2,2,135,1585,1797
904101,904,9041,1,1,46,9,4,1,1,1,2,107,1297,3504
904102,904,9041,2,2,41,9,4,1,2,1,2,107,1297,3504
904103,904,9041,3,2,19,9,4,1,3,1,2,107,1297,3504
904104,904,9041,3,1,15,9,4,1,4,1,2,107,1297,3504
1004101,1004,10041,1,1,37,10,4,1,1,1,1,11,136,2692
1004102,1004,10041,2,2,38,10,4,1,2,1,1,11,136,2692
1004103,1004,10041,3,1,6,10,4,1,3,1,1,11,136,2692
1004104,1004,10041,3,1,4,10,4,1,4,1,1,11,136,2692
1102101,1102,11021,1,1,77,11,2,1,1,1,3,127,1481,2049
1102102,1102,11021,2,2,53,11,2,1,2,1,3,127,1481,2049
1102103,1102,11021,3,2,17,11,2,1,3,1,3,127,1481,2049
1102104,1102,11021,3,2,16,11,2,1,4,1,3,127,1481,2049
1201101,1201,12011,1,1,40,12,1,1,1,4,3,57,834,19030
1201102,1201,12011,2,2,37,12,1,1,2,4,3,57,834,19030
1201103,1201,12011,3,2,13,12,1,1,3,4,3,57,834,19030
1201104,1201,12011,3,1,9,12,1,1,4,4,3,57,834,19030
1201105,1201,12011,3,2,4,12,1,1,5,4,3,57,834,19030
1303101,1303,13031,1,2,52,13,3,1,1,1,6,156,1831,1596
1303102,1303,13031,5,2,47,13,3,1,2,1,6,156,1831,1596
1303103,1303,13031,3,2,24,13,3,1,3,1,6,156,1831,1596
1303104,1303,13031,3,1,20,13,3,1,4,1,6,156,1831,1596
1303105,1303,13031,3,2,20,13,3,1,5,1,6,156,1831,1596
1408101,1408,14081,1,2,64,14,8,1,1,4,6,39,454,3356
1408102,1408,14081,2,1,65,14,8,1,2,4,6,39,454,3356
1504101,1504,15041,1,1,46,15,4,1,1,1,5,97,1171,1518
1504102,1504,15041,2,2,35,15,4,1,2,1,5,97,1171,1518
1609101,1609,16091,1,1,73,16,9,1,1,4,3,77,970,8757
1609102,1609,16091,2,2,68,16,9,1,2,4,3,77,970,8757
1609103,1609,16091,6,2,34,16,9,1,3,4,3,77,970,8757
1609104,1609,16091,3,1,22,16,9,1,4,4,3,77,970,8757
1609105,1609,16091,4,2,14,16,9,1,5,4,3,77,970,8757
1609106,1609,16091,4,1,7,16,9,1,6,4,3,77,970,8757
1704101,1704,17041,1,2,42,17,4,1,1,1,2,30,358,1424
1704102,1704,17041,3,1,20,17,4,1,2,1,2,30,358,1424
1704103,1704,17041,3,2,13,17,4,1,3,1,2,30,358,1424
1704104,1704,17041,3,2,3,17,4,1,4,1,2,30,358,1424
1816101,1816,18161,1,1,50,18,16,1,1,4,5,70,933,2426
1816102,1816,18161,2,2,53,18,16,1,2,4,5,70,933,2426
1904101,1904,19041,1,1,60,19,4,1,1,1,1,44,508,2710
1904102,1904,19041,2,2,57,19,4,1,2,1,1,44,508,2710
1904103,1904,19041,3,1,22,19,4,1,3,1,1,44,508,2710
1904104,1904,19041,5,2,70,19,4,1,4,1,1,44,508,2710
1904105,1904,19041,3,2,32,19,4,1,5,1,1,44,508,2710
2008101,2008,20081,1,1,45,20,8,1,1,4,2,160,1848,1343
2105101,2105,21051,1,1,46,21,5,1,1,1,5,87,1095,11960
2105102,2105,21051,2,2,42,21,5,1,2,1,5,87,1095,11960
2105103,2105,21051,3,1,99,21,5,1,3,1,5,87,1095,11960
2105104,2105,21051,3,1,99,21,5,1,4,1,5,87,1095,11960
2205101,2205,22051,1,2,43,22,5,1,1,1,3,59,861,5503
2205102,2205,22051,3,1,26,22,5,1,2,1,3,59,861,5503
2205103,2205,22051,3,2,23,22,5,1,3,1,3,59,861,5503
2318101,2318,23181,1,1,50,23,18,1,1,3,3,88,1108,4784
2413101,2413,24131,1,2,47,24,13,1,1,4,1,8,63,1922
2413102,2413,24131,3,1,27,24,13,1,2,4,1,8,63,1922
2502101,2502,25021,1,1,64,25,2,1,1,1,4,50,735,2939
2502102,2502,25021,2,2,63,25,2,1,2,1,4,50,735,2939
2601101,2601,26011,1,2,60,26,1,1,1,3,3,186,2143,1518
2601102,2601,26011,3,2,19,26,1,1,2,3,3,186,2143,1518
2601201,2601,26012,1,2,26,26,1,2,1,3,3,186,2143,1518
2601202,2601,26012,3,2,4,26,1,2,2,3,3,186,2143,1518
2701101,2701,27011,1,2,50,27,1,1,1,1,2,164,1953,2054
2805101,2805,28051,1,2,53,28,5,1,1,2,3,56,829,19751
2805102,2805,28051,5,1,56,28,5,1,2,2,3,56,829,19751
2805103,2805,28051,3,2,24,28,5,1,3,2,3,56,829,19751
2805104,2805,28051,3,2,19,28,5,1,4,2,3,56,829,19751
2920101,2920,29201,1,1,39,29,20,1,1,2,6,153,1812,2385
2920102,2920,29201,2,2,38,29,20,1,2,2,6,153,1812,2385
2920103,2920,29201,5,2,82,29,20,1,3,2,6,153,1812,2385
2920104,2920,29201,3,1,17,29,20,1,4,2,6,153,1812,2385
2920105,2920,29201,3,2,8,29,20,1,5,2,6,153,1812,2385
2920106,2920,29201,3,1,5,29,20,1,6,2,6,153,1812,2385
3001101,3001,30011,1,2,76,30,1,1,1,1,4,50,736,2891
3001102,3001,30011,5,2,99,30,1,1,2,1,4,50,736,2891
3001103,3001,30011,5,2,85,30,1,1,3,1,4,50,736,2891
3001104,3001,30011,5,2,80,30,1,1,4,1,4,50,736,2891
3001105,3001,30011,5,1,79,30,1,1,5,1,4,50,736,2891
3102101,3102,31021,1,1,76,31,2,1,1,1,5,120,1419,6156
3102102,3102,31021,3,1,50,31,2,1,2,1,5,120,1419,6156
3102103,3102,31021,5,2,42,31,2,1,3,1,5,120,1419,6156
3102104,3102,31021,4,1,20,31,2,1,4,1,5,120,1419,6156
3102105,3102,31021,5,2,21,31,2,1,5,1,5,120,1419,6156
3102106,3102,31021,5,1,2,31,2,1,6,1,5,120,1419,6156
3102107,3102,31021,5,1,1,31,2,1,7,1,5,120,1419,6156
3209101,3209,32091,1,1,71,32,9,1,1,4,3,89,1113,3095
3209102,3209,32091,2,2,67,32,9,1,2,4,3,89,1113,3095
3316101,3316,33161,1,2,32,33,16,1,1,3,6,153,1811,2396
3316102,3316,33161,2,1,36,33,16,1,2,3,6,153,1811,2396
3316103,3316,33161,3,1,12,33,16,1,3,3,6,153,1811,2396
3316104,3316,33161,3,1,10,33,16,1,4,3,6,153,1811,2396
3403101,3403,34031,1,1,54,34,3,1,1,1,2,30,356,1435
3403102,3403,34031,2,2,50,34,3,1,2,1,2,30,356,1435
3403103,3403,34031,3,2,25,34,3,1,3,1,2,30,356,1435
3403104,3403,34031,4,2,10,34,3,1,4,1,2,30,356,1435
3504101,3504,35041,1,1,76,35,4,1,1,1,1,151,1773,2173
3504102,3504,35041,3,2,45,35,4,1,2,1,1,151,1773,2173
3504103,3504,35041,5,1,45,35,4,1,3,1,1,151,1773,2173
3504104,3504,35041,4,2,18,35,4,1,4,1,1,151,1773,2173
3504105,3504,35041,4,1,14,35,4,1,5,1,1,151,1773,2173
3504106,3504,35041,4,2,22,35,4,1,6,1,1,151,1773,2173
3603101,3603,36031,1,1,22,36,3,1,1,1,3,127,1494,1700
3704101,3704,37041,1,1,36,37,4,1,1,1,1,11,137,2455
3704102,3704,37041,2,2,32,37,4,1,2,1,1,11,137,2455
3704103,3704,37041,3,1,7,37,4,1,3,1,1,11,137,2455
3704104,3704,37041,3,1,4,37,4,1,4,1,1,11,137,2455
3704105,3704,37041,3,2,2,37,4,1,5,1,1,11,137,2455
3804101,3804,38041,1,2,39,38,4,1,1,1,2,164,1958,1911
3804102,3804,38041,3,2,15,38,4,1,2,1,2,164,1958,1911
3804103,3804,38041,3,1,14,38,4,1,3,1,2,164,1958,1911
3903101,3903,39031,1,1,42,39,3,1,1,1,4,49,612,4271
3903102,3903,39031,2,2,38,39,3,1,2,1,4,49,612,4271
3903103,3903,39031,3,2,17,39,3,1,3,1,4,49,612,4271
4014101,4014,40141,1,1,73,40,14,1,1,4,6,63,888,2579
4014102,4014,40141,2,2,72,40,14,1,2,4,6,63,888,2579
4102101,4102,41021,1,1,24,41,2,1,1,4,5,71,934,2679
4102102,4102,41021,2,2,25,41,2,1,2,4,5,71,934,2679
4102103,4102,41021,3,2,6,41,2,1,3,4,5,71,934,2679
4215101,4215,42151,1,2,55,42,15,1,1,2,5,116,1407,6595
4215102,4215,42151,3,1,25,42,15,1,2,2,5,116,1407,6595
4215103,4215,42151,5,2,25,42,15,1,3,2,5,116,1407,6595
4215104,4215,42151,3,2,19,42,15,1,4,2,5,116,1407,6595
4215105,4215,42151,4,1,4,42,15,1,5,2,5,116,1407,6595
4315101,4315,43151,1,1,58,43,15,1,1,4,1,43,482,3070
4315102,4315,43151,3,2,26,43,15,1,2,4,1,43,482,3070
4315103,4315,43151,2,2,52,43,15,1,3,4,1,43,482,3070
4405101,4405,44051,1,2,63,44,5,1,1,3,5,85,1027,15661
4511101,4511,45111,1,2,78,45,11,1,1,4,6,155,1821,1493
4511102,4511,45111,3,2,49,45,11,1,2,4,6,155,1821,1493
4604101,4604,46041,1,1,59,46,4,1,1,1,6,65,900,2939
4604102,4604,46041,2,2,56,46,4,1,2,1,6,65,900,2939
4705101,4705,47051,1,2,52,47,5,1,1,3,5,169,1986,1167
4705102,4705,47051,2,1,48,47,5,1,2,3,5,169,1986,1167
4705103,4705,47051,3,2,21,47,5,1,3,3,5,169,1986,1167
4815101,4815,48151,1,2,85,48,15,1,1,4,6,63,887,2678
4901101,4901,49011,1,2,58,49,1,1,1,1,4,49,670,2177
4901102,4901,49011,3,2,36,49,1,1,2,1,4,49,670,2177
4901103,4901,49011,3,1,35,49,1,1,3,1,4,49,670,2177
4901104,4901,49011,3,2,30,49,1,1,4,1,4,49,670,2177
4901105,4901,49011,4,1,10,49,1,1,5,1,4,49,670,2177
4901106,4901,49011,4,1,8,49,1,1,6,1,4,49,670,2177
4901107,4901,49011,4,2,4,49,1,1,7,1,4,49,670,2177
5004101,5004,50041,1,1,42,50,4,1,1,1,6,132,1555,1256
5004102,5004,50041,2,2,40,50,4,1,2,1,6,132,1555,1256
5101101,5101,51011,1,1,69,51,1,1,1,4,5,70,931,3702
5101102,5101,51011,2,2,67,51,1,1,2,4,5,70,931,3702
5205101,5205,52051,1,1,33,52,5,1,1,1,2,29,290,1734
5205102,5205,52051,2,2,34,52,5,1,2,1,2,29,290,1734
5205103,5205,52051,3,1,11,52,5,1,3,1,2,29,290,1734
5205104,5205,52051,3,2,4,52,5,1,4,1,2,29,290,1734
5305101,5305,53051,1,2,45,53,5,1,1,1,5,98,1199,1137
5305102,5305,53051,3,1,16,53,5,1,2,1,5,98,1199,1137
5305103,5305,53051,3,2,14,53,5,1,3,1,5,98,1199,1137
5410101,5410,54101,1,1,66,54,10,1,1,2,3,186,2142,1673
5410102,5410,54101,2,2,53,54,10,1,2,2,3,186,2142,1673
5410103,5410,54101,3,2,14,54,10,1,3,2,3,186,2142,1673
5410104,5410,54101,3,1,13,54,10,1,4,2,3,186,2142,1673
5519101,5519,55191,1,1,84,55,19,1,1,3,2,105,1255,1919
5519102,5519,55191,2,2,70,55,19,1,2,3,2,105,1255,1919
5606101,5606,56061,1,1,59,56,6,1,1,4,5,167,1976,500
5606102,5606,56061,2,2,56,56,6,1,2,4,5,167,1976,500
5704101,5704,57041,1,1,48,57,4,1,1,1,4,50,750,2094
5704102,5704,57041,3,1,19,57,4,1,2,1,4,50,750,2094
5704103,5704,57041,2,2,41,57,4,1,3,1,4,50,750,2094
5805101,5805,58051,1,1,37,58,5,1,1,1,1,11,134,2795
5909101,5909,59091,1,1,62,59,9,1,1,4,5,173,2043,4521
5909102,5909,59091,2,2,40,59,9,1,2,4,5,173,2043,4521
5909103,5909,59091,3,2,16,59,9,1,3,4,5,173,2043,4521
5909104,5909,59091,3,2,12,59,9,1,4,4,5,173,2043,4521
5909105,5909,59091,3,2,7,59,9,1,5,4,5,173,2043,4521
6004101,6004,60041,1,2,43,60,4,1,1,1,1,152,1801,2119
6004102,6004,60041,2,1,44,60,4,1,2,1,1,152,1801,2119
6004103,6004,60041,3,1,23,60,4,1,3,1,1,152,1801,2119
6004104,6004,60041,3,1,13,60,4,1,4,1,1,152,1801,2119
6103101,6103,61031,1,1,45,61,3,1,1,1,3,59,863,5357
6103102,6103,61031,2,2,47,61,3,1,2,1,3,59,863,5357
6214101,6214,62141,1,1,61,62,14,1,1,2,6,62,879,3249
6316101,6316,63161,1,1,35,63,16,1,1,4,2,137,1597,1065
6316102,6316,63161,2,2,34,63,16,1,2,4,2,137,1597,1065
6316103,6316,63161,3,2,15,63,16,1,3,4,2,137,1597,1065
6316104,6316,63161,3,2,5,63,16,1,4,4,2,137,1597,1065
6316105,6316,63161,3,2,3,63,16,1,5,4,2,137,1597,1065
6403101,6403,64031,1,2,51,64,3,1,1,1,1,54,811,1294
6403102,6403,64031,3,2,22,64,3,1,2,1,1,54,811,1294
6403103,6403,64031,3,1,23,64,3,1,3,1,1,54,811,1294
6519101,6519,65191,1,1,53,65,19,1,1,3,1,51,765,1494
6519102,6519,65191,2,2,49,65,19,1,2,3,1,51,765,1494
6519103,6519,65191,3,2,17,65,19,1,3,3,1,51,765,1494
6614101,6614,66141,1,1,68,66,14,1,1,4,3,187,2146,1688
6614102,6614,66141,2,2,67,66,14,1,2,4,3,187,2146,1688
6614103,6614,66141,3,1,31,66,14,1,3,4,3,187,2146,1688
6614104,6614,66141,6,2,30,66,14,1,4,4,3,187,2146,1688
6614105,6614,66141,4,1,5,66,14,1,5,4,3,187,2146,1688
6705101,6705,67051,1,1,72,67,5,1,1,1,6,23,250,380
6804101,6804,68041,1,1,37,68,4,1,1,1,4,49,607,4573
6804102,6804,68041,5,2,71,68,4,1,2,1,4,49,607,4573
6804103,6804,68041,3,1,2,68,4,1,3,1,4,49,607,4573
6903101,6903,69031,1,2,38,69,3,1,1,3,3,100,1214,1363
6903102,6903,69031,3,1,17,69,3,1,2,3,3,100,1214,1363
6903103,6903,69031,3,2,16,69,3,1,3,3,3,100,1214,1363
6903104,6903,69031,3,2,9,69,3,1,4,3,3,100,1214,1363
7003101,7003,70031,1,2,64,70,3,1,1,1,3,5,39,1139
7003102,7003,70031,3,2,35,70,3,1,2,1,3,5,39,1139
7003103,7003,70031,3,1,32,70,3,1,3,1,3,5,39,1139
7003104,7003,70031,4,1,5,70,3,1,4,1,3,5,39,1139
7103101,7103,71031,1,1,38,71,3,1,1,4,1,143,1683,811
7103102,7103,71031,2,2,39,71,3,1,2,4,1,143,1683,811
7103103,7103,71031,3,1,17,71,3,1,3,4,1,143,1683,811
7103104,7103,71031,3,1,11,71,3,1,4,4,1,143,1683,811
7103105,7103,71031,3,1,7,71,3,1,5,4,1,143,1683,811
7215101,7215,72151,1,1,56,72,15,1,1,2,3,186,2142,1673
7215102,7215,72151,2,2,49,72,15,1,2,2,3,186,2142,1673
7215103,7215,72151,3,1,25,72,15,1,3,2,3,186,2142,1673
7302101,7302,73021,1,2,64,73,2,1,1,1,1,11,139,2151
7402101,7402,74021,1,1,67,74,2,1,1,1,5,85,1044,11976
7402102,7402,74021,2,2,60,74,2,1,2,1,5,85,1044,11976
7402103,7402,74021,3,1,39,74,2,1,3,1,5,85,1044,11976
7402104,7402,74021,3,2,31,74,2,1,4,1,5,85,1044,11976
7501101,7501,75011,1,2,80,75,1,1,1,1,5,120,1427,4872
7501102,7501,75011,4,2,31,75,1,1,2,1,5,120,1427,4872
7501103,7501,75011,5,1,7,75,1,1,3,1,5,120,1427,4872
7615101,7615,76151,1,1,54,76,15,1,1,4,1,43,484,2372
7615102,7615,76151,2,2,63,76,15,1,2,4,1,43,484,2372
7718101,7718,77181,1,1,55,77,18,1,1,3,6,37,443,3934
7718102,7718,77181,2,2,50,77,18,1,2,3,6,37,443,3934
7718103,7718,77181,5,2,27,77,18,1,3,3,6,37,443,3934
7718104,7718,77181,4,2,10,77,18,1,4,3,6,37,443,3934
7718105,7718,77181,4,1,7,77,18,1,5,3,6,37,443,3934
7718106,7718,77181,3,2,27,77,18,1,6,3,6,37,443,3934
7718107,7718,77181,3,2,22,77,18,1,7,3,6,37,443,3934
7718108,7718,77181,4,2,6,77,18,1,8,3,6,37,443,3934
7803101,7803,78031,1,1,45,78,3,1,1,1,3,190,2171,1808
7803102,7803,78031,2,2,43,78,3,1,2,1,3,190,2171,1808
7803103,7803,78031,3,1,12,78,3,1,3,1,3,190,2171,1808
7803104,7803,78031,3,1,6,78,3,1,4,1,3,190,2171,1808
7912101,7912,79121,1,2,40,79,12,1,1,3,6,109,1374,2508
7912102,7912,79121,3,2,17,79,12,1,2,3,6,109,1374,2508
7912103,7912,79121,3,2,14,79,12,1,3,3,6,109,1374,2508
8009101,8009,80091,1,1,54,80,9,1,1,4,5,173,2040,4785
8009102,8009,80091,2,2,46,80,9,1,2,4,5,173,2040,4785
8009103,8009,80091,3,2,16,80,9,1,3,4,5,173,2040,4785
8009104,8009,80091,3,2,12,80,9,1,4,4,5,173,2040,4785
8009105,8009,80091,3,2,11,80,9,1,5,4,5,173,2040,4785
8111101,8111,81111,1,2,32,81,11,1,1,4,6,39,454,3356
8111102,8111,81111,2,1,35,81,11,1,2,4,6,39,454,3356
8111103,8111,81111,3,2,5,81,11,1,3,4,6,39,454,3356
8203101,8203,82031,1,2,50,82,3,1,1,1,1,10,96,3718
8203102,8203,82031,2,1,56,82,3,1,2,1,1,10,96,3718
8203103,8203,82031,3,1,32,82,3,1,3,1,1,10,96,3718
8301101,8301,83011,1,2,33,83,1,1,1,1,4,49,649,3262
8301102,8301,83011,3,1,3,83,1,1,2,1,4,49,649,3262
8402101,8402,84021,1,1,37,84,2,1,1,1,4,50,682,3886
8402102,8402,84021,2,2,36,84,2,1,2,1,4,50,682,3886
8402103,8402,84021,3,2,2,84,2,1,3,1,4,50,682,3886
8520101,8520,85201,1,2,55,85,20,1,1,4,1,143,1678,2442
8520102,8520,85201,3,1,35,85,20,1,2,4,1,143,1678,2442
8520103,8520,85201,3,1,34,85,20,1,3,4,1,143,1678,2442
8520104,8520,85201,3,1,27,85,20,1,4,4,1,143,1678,2442
8520105,8520,85201,6,2,27,85,20,1,5,4,1,143,1678,2442
8520106,8520,85201,4,2,11,85,20,1,6,4,1,143,1678,2442
8520107,8520,85201,4,2,7,85,20,1,7,4,1,143,1678,2442
8604101,8604,86041,1,2,72,86,4,1,1,2,2,27,276,1431
8604102,8604,86041,4,2,18,86,4,1,2,2,2,27,276,1431
8717101,8717,87171,1,2,45,87,17,1,1,3,2,105,1255,1919
8717102,8717,87171,3,1,17,87,17,1,2,3,2,105,1255,1919
8802101,8802,88021,1,1,56,88,2,1,1,1,4,49,622,4001
8802102,8802,88021,3,1,35,88,2,1,2,1,4,49,622,4001
8802103,8802,88021,2,2,33,88,2,1,3,1,4,49,622,4001
8802104,8802,88021,4,2,17,88,2,1,4,1,4,49,622,4001
8802105,8802,88021,4,1,9,88,2,1,5,1,4,49,622,4001
8904101,8904,89041,1,1,39,89,4,1,1,4,2,137,1599,1009
8904102,8904,89041,2,2,35,89,4,1,2,4,2,137,1599,1009
8904103,8904,89041,3,1,10,89,4,1,3,4,2,137,1599,1009
8904104,8904,89041,3,1,0,89,4,1,4,4,2,137,1599,1009
9001101,9001,90011,1,2,29,90,1,1,1,2,3,88,1109,4626
9111101,9111,91111,1,2,44,91,11,1,1,4,1,43,484,2372
9111102,9111,91111,3,1,25,91,11,1,2,4,1,43,484,2372
9111103,9111,91111,3,2,19,91,11,1,3,4,1,43,484,2372
9111104,9111,91111,3,1,14,91,11,1,4,4,1,43,484,2372
9111105,9111,91111,5,2,23,91,11,1,5,4,1,43,484,2372
9216101,9216,92161,1,2,50,92,16,1,1,3,5,115,1405,6115
9216102,9216,92161,3,2,36,92,16,1,2,3,5,115,1405,6115
9216103,9216,92161,3,1,26,92,16,1,3,3,5,115,1405,6115
9216104,9216,92161,5,2,20,92,16,1,4,3,5,115,1405,6115
9302101,9302,93021,1,1,32,93,2,1,1,2,3,185,2139,1468
9403101,9403,94031,1,1,46,94,3,1,1,1,3,79,991,8242
9403102,9403,94031,2,2,48,94,3,1,2,1,3,79,991,8242
9403103,9403,94031,5,2,91,94,3,1,3,1,3,79,991,8242
9505101,9505,95051,1,2,49,95,5,1,1,1,1,144,1687,3018
9505102,9505,95051,5,2,67,95,5,1,2,1,1,144,1687,3018
9505103,9505,95051,3,1,24,95,5,1,3,1,1,144,1687,3018
9619101,9619,96191,1,1,86,96,19,1,1,4,2,136,1588,1337
9619102,9619,96191,2,2,63,96,19,1,2,4,2,136,1588,1337
9619103,9619,96191,5,2,94,96,19,1,3,4,2,136,1588,1337
9703101,9703,97031,1,1,78,97,3,1,1,1,2,138,1604,1399
9703102,9703,97031,2,2,68,97,3,1,2,1,2,138,1604,1399
9703103,9703,97031,3,1,36,97,3,1,3,1,2,138,1604,1399
9703104,9703,97031,5,2,35,97,3,1,4,1,2,138,1604,1399
9703105,9703,97031,4,2,16,97,3,1,5,1,2,138,1604,1399
9703106,9703,97031,4,1,14,97,3,1,6,1,2,138,1604,1399
9703107,9703,97031,4,2,1,97,3,1,7,1,2,138,1604,1399
9816101,9816,98161,1,2,43,98,16,1,1,2,6,110,1375,5038
9816102,9816,98161,3,2,19,98,16,1,2,2,6,110,1375,5038
9904101,9904,99041,1,1,50,99,4,1,1,4,6,155,1818,1651
10001101,10001,100011,1,2,59,100,1,1,1,2,5,81,1014,20259
10001102,10001,100011,3,1,24,100,1,1,2,2,5,81,1014,20259
10103101,10103,101031,1,1,48,101,3,1,1,1,2,139,1641,1237
10103102,10103,101031,2,2,54,101,3,1,2,1,2,139,1641,1237
10103103,10103,101031,3,1,16,101,3,1,3,1,2,139,1641,1237
10203101,10203,102031,1,2,52,102,3,1,1,1,5,86,1089,2758
10203102,10203,102031,3,1,28,102,3,1,2,1,5,86,1089,2758
10203103,10203,102031,3,1,23,102,3,1,3,1,5,86,1089,2758
10305101,10305,103051,1,1,70,103,5,1,1,1,6,23,245,744
10305102,10305,103051,3,2,47,103,5,1,2,1,6,23,245,744
10305103,10305,103051,4,2,16,103,5,1,3,1,6,23,245,744
10305104,10305,103051,4,1,13,103,5,1,4,1,6,23,245,744
10405101,10405,104051,1,2,18,104,5,1,1,1,4,49,658,3100
10502101,10502,105021,1,2,80,105,2,1,1,1,2,30,357,1426
10602101,10602,106021,1,1,39,106,2,1,1,1,2,30,356,1435
10602102,10602,106021,2,2,39,106,2,1,2,1,2,30,356,1435
10602103,10602,106021,3,2,5,106,2,1,3,1,2,30,356,1435
10709101,10709,107091,1,1,39,107,9,1,1,2,1,147,1736,2632
10709102,10709,107091,2,2,38,107,9,1,2,2,1,147,1736,2632
10709103,10709,107091,3,1,19,107,9,1,3,2,1,147,1736,2632
10709104,10709,107091,3,1,16,107,9,1,4,2,1,147,1736,2632
10804101,10804,108041,1,1,49,108,4,1,1,1,4,50,754,1844
10804102,10804,108041,2,2,45,108,4,1,2,1,4,50,754,1844
10804103,10804,108041,3,2,16,108,4,1,3,1,4,50,754,1844
10911101,10911,109111,1,2,67,109,11,1,1,3,3,56,830,5624
11005101,11005,110051,1,1,36,110,5,1,1,1,1,45,521,3216
11005102,11005,110051,2,2,30,110,5,1,2,1,1,45,521,3216
11005103,11005,110051,3,2,11,110,5,1,3,1,1,45,521,3216
11005104,11005,110051,3,1,4,110,5,1,4,1,1,45,521,3216
11005105,11005,110051,3,2,1,110,5,1,5,1,1,45,521,3216
11102101,11102,111021,1,1,34,111,2,1,1,1,3,103,1239,952
11102102,11102,111021,2,2,33,111,2,1,2,1,3,103,1239,952
11102103,11102,111021,3,1,11,111,2,1,3,1,3,103,1239,952
11102104,11102,111021,3,2,0,111,2,1,4,1,3,103,1239,952
11102105,11102,111021,3,1,15,111,2,1,5,1,3,103,1239,952
11201101,11201,112011,1,1,51,112,1,1,1,4,3,77,969,10589
11201102,11201,112011,2,2,48,112,1,1,2,4,3,77,969,10589
11201103,11201,112011,3,2,6,112,1,1,3,4,3,77,969,10589
11305101,11305,113051,1,1,33,113,5,1,1,1,3,78,981,8739
11305201,11305,113052,1,1,38,113,5,2,1,1,3,78,981,8739
11305301,11305,113053,1,1,32,113,5,3,1,1,3,78,981,8739
11401101,11401,114011,1,1,51,114,1,1,1,3,2,138,1607,1334
11401102,11401,114011,2,2,49,114,1,1,2,3,2,138,1607,1334
11401103,11401,114011,3,1,28,114,1,1,3,3,2,138,1607,1334
11401104,11401,114011,5,2,25,114,1,1,4,3,2,138,1607,1334
11401105,11401,114011,3,2,22,114,1,1,5,3,2,138,1607,1334
11401106,11401,114011,4,1,5,114,1,1,6,3,2,138,1607,1334
11501101,11501,115011,1,1,48,115,1,1,1,1,5,85,1029,15501
11501102,11501,115011,2,2,46,115,1,1,2,1,5,85,1029,15501
11501103,11501,115011,3,1,27,115,1,1,3,1,5,85,1029,15501
11501104,11501,115011,3,1,14,115,1,1,4,1,5,85,1029,15501
11501105,11501,115011,3,2,10,115,1,1,5,1,5,85,1029,15501
11501106,11501,115011,3,2,12,115,1,1,6,1,5,85,1029,15501
11601101,11601,116011,1,1,52,116,1,1,1,4,5,71,938,2501
11601102,11601,116011,2,2,48,116,1,1,2,4,5,71,938,2501
11601103,11601,116011,3,2,14,116,1,1,3,4,5,71,938,2501
11710101,11710,117101,1,1,30,117,10,1,1,3,3,88,1108,4784
11710102,11710,117101,2,2,29,117,10,1,2,3,3,88,1108,4784
11710103,11710,117101,3,2,7,117,10,1,3,3,3,88,1108,4784
11710104,11710,117101,3,2,3,117,10,1,4,3,3,88,1108,4784
11710105,11710,117101,3,1,1,117,10,1,5,3,3,88,1108,4784
11806101,11806,118061,1,1,26,118,6,1,1,2,6,153,1812,2385
11806102,11806,118061,2,2,27,118,6,1,2,2,6,153,1812,2385
11904101,11904,119041,1,1,31,119,4,1,1,1,2,29,282,1851
11904102,11904,119041,2,2,28,119,4,1,2,1,2,29,282,1851
11904103,11904,119041,3,2,9,119,4,1,3,1,2,29,282,1851
11904104,11904,119041,3,2,9,119,4,1,4,1,2,29,282,1851
