"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_12","P3_2","P3_3","P3_5","P4_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_29","P5_3","P5_4","P6_18","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_3","P10_1","P10_13","P10_8","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P9_1","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","P1_1","P1_2"
"1300341","2","1","1","40","2","5","1","71","823","5617","4","8","1","1","3","3","1","1","2","2","2","1","2","2","2","1","1","1","1","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","1","1","1","1","2","2","2","0","0","1","0","0","1","2","2","3","1","1","1","2","2","1","2","9","1","7","1","9","1","1","2","1","2","2","2","2","1"
"1300341","3","1","1","69","1","5","1","71","823","2525","3","3","1","1","5","1","6","2","1","2","2","2","2","2","2","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","1","1","2","1","2","2","2","1","0","0","0","0","1","2","1","3","2","1","1","2","2","3","3","9","9","1","3","9","1","1","2","1","2","2","2","2","1"
"1300341","5","1","1","62","2","5","1","71","823","2540","3","7","1","1","4","3","1","2","2","2","2","2","2","1","2","2","2","1","1","1","2","1","2","9","2","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","2","2","1","2","2","2","0","0","0","0","1","1","9","9","3","1","2","2","2","2","1","1","2","1","1","1","1","2","9","1","2","2","2","2","1","1"
"1300510","1","1","2","27","1","5","1","71","824","7000","3","8","3","1","6","0","1","1","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","2","1","1","1","2","2","2","0","0","1","0","0","1","2","2","3","2","2","1","2","2","1","2","9","9","2","2","1","1","2","2","1","1","2","2","2","1"
"1300510","3","1","1","62","2","5","1","71","824","5772","4","5","1","2","4","1","6","2","2","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","2","1","2","0","1","0","0","0","1","1","1","3","2","1","2","2","2","1","1","9","1","1","1","1","1","2","2","1","2","2","2","2","1"
"1300510","4","1","1","32","1","5","1","71","824","7546","4","8","1","1","1","3","1","1","1","1","2","2","2","1","2","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","1","1","3","2","2","2","2","2","2","2","1","1","2","2","2","1","0","0","0","0","1","1","1","3","1","2","1","2","2","1","2","1","9","1","1","1","2","1","2","1","1","1","2","4","1"
"1300691","1","1","1","40","1","5","1","70","825","4239","3","6","1","1","5","3","1","2","2","2","1","1","2","2","2","2","2","1","2","2","1","1","1","2","2","2","2","2","2","2","1","2","2","3","2","1","2","1","2","2","2","1","2","2","2","2","1","0","0","0","0","1","1","2","3","2","2","2","2","2","1","1","9","9","1","9","1","2","1","2","1","2","2","2","4","1"
"1300691","2","1","1","38","2","5","1","70","825","4364","4","2","1","1","6","0","1","1","1","2","1","1","2","2","2","2","2","1","2","2","3","1","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","0","0","0","0","1","3","1","1","2","1","2","2","2","1","1","9","9","1","9","1","2","1","1","1","1","1","2","2","1"
"1300691","3","1","1","47","2","5","1","70","825","2356","3","2","1","1","2","0","1","2","1","2","1","2","1","1","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","0","0","0","0","1","1","3","2","3","1","1","2","2","2","1","1","9","1","1","9","6","2","1","1","1","1","2","2","1","1"
"1300691","4","1","7","33","1","5","1","70","825","11141","3","3","5","1","1","2","1","1","1","2","1","1","2","1","2","1","2","1","1","3","2","9","2","2","1","2","1","1","1","1","2","1","2","3","2","2","2","2","2","2","2","2","1","2","2","2","0","0","0","1","0","1","1","1","3","2","1","2","1","2","1","1","9","9","1","1","6","2","1","1","1","2","2","2","9","1"
"1300692","1","1","2","27","2","5","1","72","826","7116","3","6","3","1","6","1","1","2","1","1","2","1","1","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","2","1","2","1","1","1","1","2","2","2","2","2","1","1","1","2","2","2","1","0","0","0","0","1","2","2","3","2","2","2","2","2","1","2","9","1","1","1","1","1","1","1","1","2","1","2","2","1"
"1300692","3","1","1","59","1","5","1","72","826","2428","3","6","1","2","6","0","1","2","1","2","1","1","2","1","2","2","2","1","1","3","1","1","2","1","2","2","2","2","2","1","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","1","2","2","3","1","1","2","2","2","1","1","9","1","1","1","1","2","1","2","1","1","2","2","1","1"
"1300692","4","1","1","57","1","5","1","72","826","4855","3","3","1","1","5","4","1","2","1","1","2","2","2","1","2","2","2","1","1","3","2","1","1","1","2","2","2","2","2","1","2","1","1","1","2","2","2","2","2","2","2","1","1","2","2","2","1","0","0","0","0","1","1","1","3","2","2","2","2","2","1","1","9","1","1","1","9","1","1","1","1","2","2","2","4","1"
"1300758","1","1","1","25","1","5","1","70","827","2822","6","2","1","2","6","0","1","2","2","1","1","1","2","1","2","2","2","2","2","2","3","1","1","2","2","1","2","2","1","1","1","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","9","2","9","2","1","2","2","2","2","1","1","1","9","1","9","1","9","2","2","2","2","2","2","2","1"
"1300758","2","1","1","67","2","5","1","70","827","11636","3","2","1","2","4","1","1","2","2","2","2","1","2","2","2","2","2","3","2","2","3","1","1","1","2","2","2","2","2","2","1","1","2","3","2","2","2","2","2","2","2","1","1","2","2","2","0","0","0","1","0","1","9","9","3","2","1","2","2","2","1","9","9","1","1","9","1","2","2","1","2","2","1","9","8","1"
"1300758","3","1","2","54","2","5","1","70","827","7793","3","3","2","1","5","2","1","2","2","2","1","1","2","2","2","1","2","2","1","1","3","1","1","9","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","1","0","1","2","2","3","1","1","2","2","2","1","1","9","1","1","1","1","2","2","2","2","2","1","2","4","1"
"1300758","4","1","2","23","1","5","1","70","827","5644","6","2","5","1","6","0","1","1","1","2","1","1","2","2","2","1","2","2","3","2","2","1","2","1","2","2","2","2","2","1","2","2","2","3","1","2","2","2","2","2","2","1","2","2","2","2","0","0","0","0","1","1","1","1","9","1","2","2","2","2","1","1","1","9","1","1","1","2","2","1","1","2","1","2","2","1"
"1300758","5","1","1","41","2","5","1","70","827","2573","3","6","1","2","4","1","1","2","1","2","1","2","2","1","2","2","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","3","2","2","2","2","2","2","2","2","1","2","2","2","1","0","0","0","0","1","1","1","3","1","2","2","2","2","1","2","9","1","1","9","1","2","1","2","2","1","1","2","2","1"
"1300874","2","1","1","65","2","5","1","70","828","1940","6","2","1","2","4","1","1","2","2","2","2","1","2","2","2","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","1","1","9","3","1","1","2","2","2","1","1","9","1","1","9","1","2","2","2","2","2","1","2","2","1"
"1300874","3","1","4","19","1","5","1","70","828","9412","3","6","3","1","6","0","8","2","2","2","1","1","2","2","2","2","2","1","2","3","1","1","1","1","2","2","2","1","2","1","2","2","2","3","2","2","2","2","2","2","1","1","1","2","2","2","0","0","0","0","1","1","2","1","3","2","2","2","2","2","1","1","9","9","9","9","9","2","2","2","1","1","2","2","4","1"
"1300874","4","1","1","62","1","5","1","70","828","1929","3","2","1","1","4","0","2","2","2","2","2","1","2","2","2","1","2","1","1","2","3","1","2","2","2","2","2","2","2","2","2","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","1","1","1","2","1","1","1","2","2","1","1","9","1","1","1","1","2","2","2","2","2","1","2","1","1"
"1300874","5","1","4","36","2","5","1","70","828","5961","3","3","3","1","5","3","5","2","1","2","2","2","2","1","2","2","2","1","1","1","2","1","1","1","2","2","2","2","1","2","2","2","2","3","2","2","2","2","2","2","2","1","1","2","2","2","1","0","0","0","0","1","3","2","3","1","2","2","2","2","1","1","9","1","1","1","1","2","2","1","2","2","9","2","8","1"
"1300965","1","1","2","30","2","5","1","71","829","5814","3","7","2","1","5","2","1","1","2","1","2","2","2","1","2","1","2","1","1","2","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","2","2","2","2","1","1","2","1","2","2","2","1","0","0","0","0","1","3","3","2","2","1","2","2","2","1","2","9","1","1","1","1","1","1","1","1","2","1","2","4","1"
"1300965","2","1","1","57","2","5","1","71","829","3169","3","3","1","1","6","0","5","1","2","2","1","1","2","2","2","2","2","1","1","1","3","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","0","1","0","0","0","1","2","1","3","1","1","1","2","2","1","1","9","1","1","9","1","2","1","2","1","2","2","2","1","1"
"1300965","3","1","1","42","2","5","1","71","829","6277","3","6","1","1","1","3","5","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","9","9","9","3","2","2","2","2","2","1","1","1","9","1","1","1","2","9","9","9","9","9","9","4","1"
"1300965","4","1","2","32","1","5","1","71","829","7422","5","8","3","1","6","0","1","1","2","2","1","1","2","2","2","1","1","1","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","1","2","2","2","1","1","1","2","2","1","0","1","0","0","0","1","2","2","3","2","1","1","1","2","1","4","1","4","4","1","1","2","1","2","2","1","2","2","2","1"
