"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_12","P3_2","P3_3","P3_5","P4_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_29","P5_3","P5_4","P6_18","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_3","P10_1","P10_13","P10_8","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P9_1","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","P1_1","P1_2"
"400045","1","1","1","57","2","6","1","21","173","1457","4","5","1","1","6","2","6","1","2","2","2","2","1","2","2","1","2","1","1","3","1","1","1","2","2","2","2","2","2","2","2","1","1","3","2","2","2","2","2","1","1","1","1","2","2","2","0","0","1","0","0","1","2","2","3","2","1","1","2","2","1","1","9","1","1","1","1","1","2","1","1","9","2","2","2","1"
"400045","2","1","3","28","1","6","1","21","173","1921","3","6","5","1","1","4","1","2","1","1","1","1","1","1","2","1","2","1","1","2","2","1","2","2","1","2","2","1","2","1","1","1","1","1","2","2","2","2","2","1","2","1","1","2","2","2","0","1","0","0","0","1","1","1","1","2","2","2","2","2","1","1","9","1","1","1","1","1","1","1","1","1","1","2","10","2"
"400045","2","2","1","49","1","6","1","21","173","1677","3","4","1","1","2","3","1","2","1","2","1","1","2","1","2","2","2","1","1","3","3","1","1","1","2","2","2","2","1","2","1","1","2","1","2","1","1","1","2","2","2","2","2","2","2","2","0","0","0","0","1","1","9","9","3","2","2","2","2","2","1","1","9","1","1","1","1","2","2","1","2","2","2","2","10","2"
"400045","3","1","6","21","1","6","1","21","173","2401","2","6","3","1","6","0","1","1","1","2","1","2","2","1","2","1","2","1","1","3","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","2","0","0","1","0","0","1","2","2","3","2","2","2","2","2","2","3","9","9","3","3","1","1","2","2","1","1","2","2","7","1"
"400045","4","1","2","69","2","6","1","21","173","943","2","5","2","2","5","0","5","1","2","2","2","1","2","2","2","2","2","1","1","3","2","1","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","1","1","2","3","2","1","2","2","2","1","1","9","1","1","9","1","2","2","9","2","2","1","2","2","1"
"400045","5","1","2","50","2","6","1","21","173","2185","2","8","2","1","5","2","5","2","1","2","2","2","2","1","2","1","2","1","2","2","1","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","2","2","2","1","1","1","2","2","2","0","0","0","0","1","1","1","1","3","1","2","1","2","2","1","1","9","1","1","1","1","1","1","2","1","2","1","2","3","1"
"400067","2","1","1","24","1","6","1","21","174","1055","3","8","1","1","1","1","4","2","1","2","2","1","2","1","2","1","2","1","1","3","1","1","1","1","1","2","2","1","2","1","2","1","1","3","2","2","2","1","2","2","2","1","1","2","2","2","0","0","0","0","1","9","1","1","3","2","1","1","1","2","1","1","9","1","1","1","9","1","2","2","2","1","1","2","2","1"
"400067","5","1","2","47","2","6","1","21","174","1985","4","8","2","1","5","4","1","1","1","1","2","2","2","2","2","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","0","1","0","0","0","1","1","1","1","4","1","1","2","2","1","1","9","1","1","1","1","1","1","1","1","1","1","2","6","1"
"400096","1","1","3","24","1","6","1","20","175","1891","3","3","3","1","6","0","1","1","1","1","2","1","1","2","2","1","2","1","1","2","1","2","1","1","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","1","1","2","1","2","2","2","0","0","0","0","1","1","3","1","1","1","2","2","2","2","1","1","9","9","1","1","1","2","1","1","1","1","1","9","3","1"
"400096","2","1","1","64","2","6","1","20","175","619","6","2","1","1","4","0","5","2","2","2","2","1","2","2","2","2","2","3","2","2","3","1","9","9","2","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","2","2","1","2","2","2","0","0","1","0","0","2","1","2","3","1","1","2","2","2","1","1","9","1","1","9","1","2","2","1","1","2","1","2","1","1"
